id;code;description;type;color;abbr;hourly_excuse;daily_excuse;overtime_approval;normal_group;not_change_weekly;overtime_group;dayshift_multiplier;dayshift_length;dayshift_limit_low;dayshift_limit_up;shift_multiplier;shift_day_length;shift_limit_low;shift_limitup;rounding;round_step;round_time;round_day;round_day_monthly;include_task;include_special_task;reserved;addsub_annual_leave;created;modified;modified_user
1;Table;projecti;18566;lavender;transmit;false;true;true;false;true;false;41701;;;;24149;;;;true;23683;96408;28989;76773;false;false;true;p;2020-11-29T03:31:12;2020-11-29T02:39:50;Communications
2;revol;withdraw;80503;white;Avon invoi;true;true;true;true;true;false;5548;;;;50179;;;;true;4763;90787;49854;81053;false;false;false;P;2020-11-29T21:50:06;2020-11-29T13:42:09;frame Granite
3;bypas;Division;52769;lime;Barbados D;false;true;false;true;true;true;80773;;;;90455;;;;false;24988;30425;2151;69877;true;true;true;L;2020-11-29T20:21:50;2020-11-29T07:40:55;Virginia
4;teal ;hierarch;85045;teal;workforce;false;true;true;true;false;true;50679;;;;38050;;;;false;36628;3156;71466;36158;false;false;false;A;2020-11-29T19:16:54;2020-11-29T07:28:11;digital
5;Handc;Bike;55120;yellow;Automated;true;false;false;false;false;false;77553;;;;78710;;;;false;34062;34819;1582;71258;false;false;false;R;2020-11-29T07:31:38;2020-11-29T02:28:25;Norfolk Island deposit
6;Indus;Networke;17615;purple;California;true;true;false;false;false;true;81701;;;;66504;;;;true;86679;83571;55848;81999;false;true;false;D;2020-11-29T21:11:06;2020-11-29T08:50:12;Persevering Steel Jamaica
7;IB;Home Loa;51981;gold;Practical ;true;true;false;false;false;false;66623;;;;81711;;;;false;65904;53741;17089;241;false;false;false;S;2020-11-29T03:52:55;2020-11-29T11:39:29;Auto Loan Account
8;maxim;Agent;97180;red;Plastic;false;false;true;false;true;true;38587;;;;35668;;;;false;11494;17551;62725;97729;true;false;true;C;2020-11-29T23:18:52;2020-11-29T17:57:44;magnetic connecting virtual
9;seaml;PNG inte;59239;turquoise;hard drive;true;true;false;true;false;true;86559;;;;5072;;;;false;25717;83291;73914;89947;false;true;false;p;2020-11-29T23:38:46;2020-11-29T11:40:15;Networked
10;dynam;Chair El;31327;lavender;Outdoors C;true;false;false;false;true;false;41586;;;;20544;;;;false;50578;95762;61822;83539;true;true;false;I;2020-11-29T09:57:20;2020-11-29T01:01:16;Personal Loan Account Music
