id;code;description;timekeeping;reason_code;first_time;last_time
1;34160;Harbor target;false;hub mindsh;;
2;5954;technologies;false;Cliffs;;
3;2413;real-time Checking Account Rue;true;Assurance;;
4;50653;Sleek Rubber Gloves Extended;true;Re-context;;
5;36884;Chair;true;web-readin;;
6;98922;Assurance Quality-focused;true;yellow hol;;
7;33660;Vatu;true;Corporate ;;
8;27743;transmitting Orchestrator Coordinator;false;redefine;;
9;42940;Concrete compressing;false;Incredible;;
10;61821;North Carolina;true;New Jersey;;
