id;first_time;last_time;last_in_time;last_out_time;employee_id
1;2020-12-13T12:14:59;2020-12-13T02:04:45;2020-12-13T07:39:26;2020-12-13T17:29:29;1
2;2020-12-13T17:52:11;2020-12-13T11:46:37;2020-12-12T21:39:15;2020-12-12T19:48:17;2
3;2020-12-13T05:26:14;2020-12-13T05:04:38;2020-12-12T22:24:24;2020-12-13T09:44:32;3
4;2020-12-13T17:42:21;2020-12-13T05:25:30;2020-12-12T20:15:51;2020-12-12T22:12:11;4
5;2020-12-12T23:38:26;2020-12-13T12:58:44;2020-12-13T00:08:12;2020-12-12T23:49:20;5
6;2020-12-13T14:48:46;2020-12-12T23:29:22;2020-12-13T01:48:05;2020-12-13T07:23:29;6
7;2020-12-13T05:08:20;2020-12-13T06:40:06;2020-12-13T12:43:10;2020-12-12T19:40:04;7
8;2020-12-13T06:25:17;2020-12-13T18:10:13;2020-12-13T13:28:44;2020-12-13T09:27:12;8
9;2020-12-13T10:28:57;2020-12-13T16:14:25;2020-12-13T00:04:18;2020-12-12T20:18:37;9
10;2020-12-13T00:41:41;2020-12-13T11:18:59;2020-12-13T15:15:20;2020-12-13T12:25:40;10
