id;first_time;last_time;last_in_time;last_out_time;visitor_book_id
1;2020-12-13T04:36:28;2020-12-12T18:38:18;2020-12-12T19:22:42;2020-12-13T08:39:57;1
2;2020-12-13T12:00:22;2020-12-13T11:25:19;2020-12-12T19:07:33;2020-12-13T17:28:07;2
3;2020-12-13T00:32:58;2020-12-13T02:46:24;2020-12-13T14:29:48;2020-12-13T15:51:48;3
4;2020-12-13T13:40:26;2020-12-13T00:40:57;2020-12-12T18:50:11;2020-12-13T06:21:09;4
5;2020-12-13T03:31:51;2020-12-13T15:28:16;2020-12-13T04:09:39;2020-12-13T17:02:58;5
6;2020-12-13T17:28:21;2020-12-13T06:12:35;2020-12-13T15:47:57;2020-12-13T18:28:44;6
7;2020-12-12T19:14:04;2020-12-13T10:54:17;2020-12-12T22:40:49;2020-12-13T15:52:43;7
8;2020-12-13T08:02:08;2020-12-13T00:53:03;2020-12-13T17:28:00;2020-12-13T00:54:30;8
9;2020-12-13T12:36:50;2020-12-13T13:06:44;2020-12-13T07:36:48;2020-12-13T00:53:47;9
10;2020-12-13T00:41:17;2020-12-13T04:33:58;2020-12-13T02:37:19;2020-12-13T01:22:11;10
