id;leave_date;return_date;paid;day_off;holiday;travel;military;is_used;created;modified;modified_user;employee_id;schedule_id
1;2020-12-13;2020-12-13;96261;15017;31108;9702;62785;false;2020-12-13T05:43:34;2020-12-13T17:53:18;Computer SQL;1;1
2;2020-12-12;2020-12-12;12910;14848;82381;86264;40869;false;2020-12-13T07:48:59;2020-12-12T20:47:48;Rubber Investment Account Costa Rican Colon;2;2
3;2020-12-13;2020-12-13;926;27427;46485;60296;66128;true;2020-12-13T15:29:01;2020-12-13T02:10:17;Lead;3;3
4;2020-12-13;2020-12-13;16787;44738;11316;52092;10808;false;2020-12-13T07:10:03;2020-12-13T05:24:11;Principal feed;4;4
5;2020-12-13;2020-12-13;92273;13636;60458;25409;98681;false;2020-12-13T18:19:40;2020-12-13T09:46:08;digital;5;5
6;2020-12-12;2020-12-13;47207;37928;51050;6903;45162;true;2020-12-13T09:15:35;2020-12-13T14:00:56;Incredible virtual;6;6
7;2020-12-13;2020-12-13;94629;34649;93154;67286;45003;true;2020-12-13T11:15:41;2020-12-13T15:17:26;India Key Latvian Lats;7;7
8;2020-12-13;2020-12-13;49163;74731;64016;72833;28478;true;2020-12-13T08:10:26;2020-12-13T07:25:58;bifurcated migration;8;8
9;2020-12-13;2020-12-13;26580;67039;21642;74761;15885;false;2020-12-13T02:53:04;2020-12-13T02:04:11;streamline Bedfordshire;9;9
10;2020-12-13;2020-12-13;4854;31340;5346;89445;96568;true;2020-12-13T06:38:19;2020-12-12T21:56:33;Italy Identity;10;10
