id;first_date;last_date;numday;al_year;add_sub;description;created;modified;modified_user;employee_id
1;2020-12-13;2020-12-12;99326;63967;m;Soft;2020-12-13T14:15:13;2020-12-13T12:45:36;Factors help-desk synergy;1
2;2020-12-13;2020-12-13;82482;795;S;IB interface;2020-12-13T18:08:51;2020-12-13T12:15:46;Malagasy Ariary overriding;2
3;2020-12-13;2020-12-12;39889;29936;S;haptic compress;2020-12-13T12:50:52;2020-12-13T13:54:45;Licensed Metal Hat Executive Senior;3
4;2020-12-13;2020-12-13;72498;20;o;bluetooth calculate Springs;2020-12-13T05:59:12;2020-12-13T01:34:32;dynamic Orchestrator;4
5;2020-12-13;2020-12-13;22925;24847;P;multi-byte;2020-12-13T13:47:20;2020-12-13T08:12:19;overriding Specialist artificial intelligence;5
6;2020-12-12;2020-12-13;54889;92725;L;Alabama Data GB;2020-12-13T15:25:50;2020-12-13T10:42:07;Solomon Islands Dollar Optimized;6
7;2020-12-13;2020-12-13;5789;74180;F;Facilitator Sleek;2020-12-13T16:55:55;2020-12-13T13:24:37;Supervisor Bulgaria;7
8;2020-12-12;2020-12-13;12384;97674;C;portals;2020-12-12T23:27:19;2020-12-13T14:55:59;Hong Kong Games;8
9;2020-12-12;2020-12-13;62876;84179;c;Light artificial intelligence;2020-12-13T01:40:27;2020-12-13T14:33:12;Mission;9
10;2020-12-13;2020-12-13;57683;13026;I;ROI;2020-12-13T04:50:23;2020-12-12T22:34:31;bandwidth Generic Steel Table Division;10
