id;code;description;created;modified;modified_user
1;40540;Coves PNG;2020-12-13T17:19:17;2020-12-13T03:49:05;Wooden synthesize indexing
2;94518;SQL Gorgeous Fresh Soap;2020-12-13T14:41:14;2020-12-13T12:59:37;Singapore Dollar intuitive protocol
3;62206;copying technologies;2020-12-13T03:05:48;2020-12-13T16:16:44;Harbor
4;89437;Borders;2020-12-13T14:31:34;2020-12-13T04:59:21;Cambridgeshire invoice
5;65912;Personal Loan Account Investment Account;2020-12-12T20:56:33;2020-12-13T00:13:10;matrix Personal Loan Account
6;2648;Facilitator enable Specialist;2020-12-12T23:49:40;2020-12-12T23:21:13;sensor
7;48203;user-centric Platinum Costa Rican Colon;2020-12-13T05:26:06;2020-12-13T03:39:05;Rapid Pennsylvania firewall
8;35212;Springs niches B2C;2020-12-12T21:13:26;2020-12-13T18:01:45;user-facing Reactive Savings Account
9;66357;Graphic Interface Uzbekistan Sum Fantastic Cotton Tuna;2020-12-12T20:51:22;2020-12-13T06:29:36;transitional Incredible Metal Towels
10;82060;South Carolina customized Accounts;2020-12-13T17:13:13;2020-12-13T09:09:18;deposit Incredible
