id;worked_year;earned_day;created;modified;modified_user;annual_leave_group_id
1;4382;29713;2020-12-13T03:36:47;2020-12-13T17:50:08;Clothing asynchronous primary;1
2;27653;55262;2020-12-12T21:48:13;2020-12-12T22:17:35;Arkansas Response Investment Account;2
3;21826;9031;2020-12-12T20:43:42;2020-12-13T13:04:45;International;3
4;94470;83472;2020-12-13T11:57:31;2020-12-13T14:47:45;array;4
5;37075;88182;2020-12-13T06:50:29;2020-12-12T19:43:51;Virginia North Korean Won virtual;5
6;22319;50354;2020-12-12T21:36:23;2020-12-13T16:03:09;multi-byte sexy;6
7;17739;90667;2020-12-13T13:39:19;2020-12-13T15:49:20;Brooks Kentucky;7
8;14366;44279;2020-12-12T23:26:46;2020-12-12T22:28:20;Rustic Concrete Shirt;8
9;9536;26889;2020-12-13T15:25:09;2020-12-13T18:29:23;array quantifying;9
10;91560;65584;2020-12-12T19:11:47;2020-12-13T06:16:08;Handmade Soft Soap Coves Lane;10
