id;al_year;service_year;rights_date;al_day;description;created;modified;modified_user;employee_id
1;25871;25369;2020-12-12;67918;Metal withdrawal;2020-12-13T14:46:03;2020-12-13T07:01:57;clear-thinking;1
2;99242;95255;2020-12-13;29308;maximize internet solution;2020-12-12T20:17:55;2020-12-13T01:59:55;Fresh;2
3;94296;62235;2020-12-13;78703;Practical Rubber Cheese;2020-12-12T21:18:33;2020-12-13T06:37:09;turquoise;3
4;97057;64504;2020-12-13;34927;Fort Persevering;2020-12-13T05:26:16;2020-12-13T00:42:07;Uruguay Ecuador compelling;4
5;17270;17815;2020-12-13;84603;frictionless Chair;2020-12-13T16:41:43;2020-12-12T21:24:30;De-engineered Orchestrator Station;5
6;78728;18507;2020-12-13;64014;Lebanese Pound Alley;2020-12-13T10:02:48;2020-12-13T06:04:39;Home Loan Account directional;6
7;49178;53139;2020-12-12;71882;users Credit Card Account Croatia;2020-12-13T13:06:31;2020-12-13T16:13:11;American Samoa Computers;7
8;29760;3125;2020-12-13;4932;IB transform Brand;2020-12-13T03:31:43;2020-12-13T18:27:46;transition;8
9;13914;70362;2020-12-13;88206;Metrics Albania Handcrafted;2020-12-13T07:56:34;2020-12-13T07:40:17;sensor Small Frozen Bacon Ergonomic;9
10;65566;83676;2020-12-13;35975;Costa Rica;2020-12-13T08:02:55;2020-12-13T16:18:28;dedicated;10
