id;approve_level;created;modified;modified_user;employee_id;cost_center_id
1;16404;2020-12-13T15:22:27;2020-12-13T08:19:07;solid state;1;1
2;85166;2020-12-13T03:33:03;2020-12-12T21:47:52;lime Personal Loan Account Managed;2;2
3;81974;2020-12-13T01:34:54;2020-12-13T14:57:42;reboot Bulgarian Lev;3;3
4;57391;2020-12-12T20:05:40;2020-12-12T22:12:49;Tactics;4;4
5;97676;2020-12-13T09:47:39;2020-12-13T17:59:01;Object-based Fantastic Rubber Fish Coordinator;5;5
6;13688;2020-12-12T20:14:55;2020-12-13T08:29:29;Causeway data-warehouse;6;6
7;12036;2020-12-13T09:48:29;2020-12-13T14:41:11;protocol array New York;7;7
8;7277;2020-12-13T11:58:02;2020-12-13T03:37:48;Berkshire;8;8
9;37668;2020-12-13T09:47:35;2020-12-12T23:54:23;Technician orange;9;9
10;26723;2020-12-13T01:09:59;2020-12-12T22:17:41;mobile;10;10
