id;approve_level;created;modified;modified_user;employee_id;department_id
1;84559;2020-12-13T12:36:23;2020-12-13T15:50:37;overriding Bulgarian Lev;1;1
2;32762;2020-12-13T11:42:17;2020-12-13T05:02:10;Director parse system;2;2
3;42525;2020-12-12T23:33:50;2020-12-13T17:12:19;content-based;3;3
4;80821;2020-12-13T14:34:58;2020-12-12T21:40:00;Avon Sleek programming;4;4
5;82166;2020-12-13T16:01:30;2020-12-13T17:32:23;Soft compelling;5;5
6;89036;2020-12-13T00:02:14;2020-12-13T01:04:40;application;6;6
7;19839;2020-12-13T14:40:27;2020-12-13T10:14:20;multi-byte South Dakota;7;7
8;82539;2020-12-13T05:45:51;2020-12-12T21:44:44;disintermediate;8;8
9;79284;2020-12-13T15:30:30;2020-12-13T08:22:28;product;9;9
10;26612;2020-12-13T16:17:29;2020-12-13T11:18:46;Electronics;10;10
