id;authorization_group_id;validity_start;validity_end;created;modified;modified_user
1;37026;2020-12-13T18:42:54;2020-12-13T12:39:29;2020-12-13T06:55:52;2020-12-13T07:11:38;Hills Total
2;66062;2020-12-13T12:28:21;2020-12-13T10:26:52;2020-12-13T10:07:25;2020-12-12T20:01:30;New Israeli Sheqel Costa Rican Colon Health
3;34280;2020-12-13T10:08:29;2020-12-13T01:10:34;2020-12-12T20:09:24;2020-12-13T02:57:10;Optional payment Chief
4;14629;2020-12-13T10:16:28;2020-12-13T02:51:16;2020-12-13T07:14:51;2020-12-13T04:41:54;Indian Rupee Ngultrum
5;51526;2020-12-13T10:05:04;2020-12-12T20:52:39;2020-12-13T15:28:15;2020-12-13T01:17:37;Credit Card Account United Arab Emirates
6;28155;2020-12-13T13:26:14;2020-12-13T18:37:51;2020-12-13T07:05:58;2020-12-13T00:46:07;mindshare Avon
7;25562;2020-12-13T06:02:24;2020-12-13T16:25:22;2020-12-12T20:03:04;2020-12-13T16:36:20;Chad
8;94273;2020-12-13T15:07:36;2020-12-13T12:45:40;2020-12-13T14:31:14;2020-12-13T11:03:37;Uzbekistan Triple-buffered Home
9;23777;2020-12-13T06:50:50;2020-12-13T09:43:01;2020-12-13T00:10:44;2020-12-12T23:25:32;Books
10;96059;2020-12-13T12:54:33;2020-12-13T15:21:12;2020-12-12T21:13:57;2020-12-13T14:24:45;Books New Hampshire Automotive
