id;code;description;timekeeping;default_employee;default_external;default_other;default_visitor;available_reception;created;modified;modified_user
1;Handmade R;Buckinghamshire cultivate;false;false;false;false;false;false;2020-12-13T14:04:32;2020-12-13T08:58:56;THX
2;system;multi-byte Handcrafted Soft Salad;true;false;true;true;false;false;2020-12-13T09:00:46;2020-12-13T01:30:37;Brunei Darussalam Checking Account functionalities
3;Viaduct Ch;Salad;false;true;false;false;false;true;2020-12-13T08:29:27;2020-12-13T15:23:55;sticky intuitive
4;Unbranded ;Cloned Future Savings Account;true;true;false;true;true;false;2020-12-13T07:43:01;2020-12-13T00:19:56;Multi-tiered
5;overriding;matrix;true;true;false;false;false;false;2020-12-13T08:44:04;2020-12-13T07:26:35;Money Market Account
6;virtual;Credit Card Account alarm engage;true;true;true;false;true;false;2020-12-13T18:07:05;2020-12-13T15:45:47;reboot Garden card
7;extensible;Intranet Investment Account;false;false;true;false;false;false;2020-12-13T03:47:28;2020-12-12T21:50:11;International Extension Plaza
8;Checking A;synthesizing Turnpike Keyboard;false;true;false;true;false;true;2020-12-12T19:32:44;2020-12-12T23:43:08;grow Australia
9;Metrics Be;Industrial bypassing;false;true;true;true;false;true;2020-12-13T17:39:47;2020-12-13T13:40:18;next-generation RAM
10;process im;Orchestrator capacitor partnerships;false;true;true;true;true;true;2020-12-13T01:01:47;2020-12-13T03:42:36;protocol Home
