id;code;description;assign_shift_day;shift_assign_method;day_start_time;apply_weekly_balance;balance_weeks_in_month;weekend_day;flexible_working_time;day_off;flexible_shift;week_hours;week_hours_min;week_hours_max;monthly_balance_01;monthly_balance_02;monthly_balance_03;monthly_balance_04;monthly_balance_05;monthly_balance_06;monthly_balance_07;monthly_balance_08;monthly_balance_09;monthly_balance_10;monthly_balance_11;monthly_balance_12;own_calendar;own_weekly_work;own_day_off;own_na_start_flex;own_schedules;own_week_hours;own_monthly_balance;created;modified;modified_user
1;B2C;RAM solution-oriented bricks-and-clicks;78729;1822;;true;false;false;true;87246;true;39470;15355;26450;21162;24114;21028;90889;93228;59428;71583;44527;67285;12193;65326;98272;false;true;false;true;false;true;true;2020-12-13T04:22:53;2020-12-13T01:10:33;high-level Metal Auto Loan Account
2;calculate;parsing Jamaican Dollar;41141;50257;;false;false;false;true;37880;false;65641;57631;24690;82667;84179;17871;38194;30871;73244;85366;80450;13541;56407;48587;3158;false;true;false;true;true;true;false;2020-12-12T22:26:23;2020-12-13T17:09:26;Forks
3;Streamline;Credit Card Account;18245;34301;;false;true;false;true;50594;false;23389;31380;15360;31261;74817;85002;99141;4797;34841;18632;87269;23290;34522;3401;1440;false;false;true;true;false;true;false;2020-12-13T12:22:46;2020-12-13T03:22:07;Graphical User Interface generate
4;quantify;Beauty;15335;6261;;false;false;false;true;38724;false;73925;41854;92546;33015;29337;80669;93849;30686;13373;99180;71575;98252;67181;29024;16150;true;true;true;true;true;true;false;2020-12-13T07:34:39;2020-12-13T02:24:52;card
5;24/7;collaboration Administrator;87525;20687;;false;true;false;true;62968;true;1214;78525;87574;41409;80499;87868;79304;94757;47842;12777;90867;75242;19143;94951;12244;false;false;false;false;true;true;true;2020-12-13T16:11:12;2020-12-13T05:43:57;deposit payment
6;Berkshire ;Representative Cambridgeshire User-friendly;52775;23057;;true;false;false;true;28021;true;70377;32000;42235;27222;20692;64507;65609;96262;74825;32556;68159;68567;928;74499;30185;true;false;true;true;false;true;false;2020-12-13T09:26:02;2020-12-13T03:02:29;compress
7;Harbors Re;Texas Strategist Strategist;96192;89681;;true;false;false;true;17331;true;52110;42085;32288;475;75337;77950;22116;44034;83975;34684;62833;14723;13268;72425;85434;false;false;false;false;true;true;false;2020-12-13T11:42:24;2020-12-12T20:09:00;red parsing
8;Shirt;Cloned Kansas;75737;88427;;true;false;false;true;86806;true;12155;97095;82527;66535;77949;48612;17098;40050;84290;160;64502;37436;31803;48474;77959;false;true;false;true;false;true;false;2020-12-13T12:36:20;2020-12-13T07:31:51;withdrawal parsing Engineer
9;plug-and-p;parsing Wooden;92285;5649;;false;true;true;true;31968;true;33269;82386;57563;33569;57602;87326;97786;47289;65970;7869;17570;95991;44032;91270;85438;false;false;false;false;false;false;false;2020-12-12T21:30:01;2020-12-12T22:23:12;Home Loan Account
10;Manager th;Tasty;4331;15566;;true;true;false;true;90493;false;8761;48917;44511;49412;83747;97952;64151;86746;90310;90772;60414;47604;48292;24204;47041;true;true;false;true;false;false;true;2020-12-13T08:32:31;2020-12-13T15:58:07;New Zealand Oklahoma Spur
