id;daydate;description;created;modified;modified_user;calendar_schedule_id;holiday_schedule_id
1;2020-12-12;e-business;2020-12-12T22:27:31;2020-12-13T00:30:25;Credit Card Account Towels;1;1
2;2020-12-13;haptic;2020-12-13T05:08:43;2020-12-13T06:16:16;well-modulated virtual Checking Account;2;2
3;2020-12-13;Manat disintermediate Pataca;2020-12-13T13:41:10;2020-12-13T10:46:27;Handcrafted Concrete Fish;3;3
4;2020-12-13;pixel payment circuit;2020-12-13T14:19:25;2020-12-12T21:51:16;grid-enabled;4;4
5;2020-12-12;invoice;2020-12-13T07:50:36;2020-12-13T04:58:55;even-keeled drive;5;5
6;2020-12-13;calculating Awesome Granite Keyboard;2020-12-13T02:51:31;2020-12-13T14:24:16;Borders;6;6
7;2020-12-13;best-of-breed Motorway Manager;2020-12-12T22:21:04;2020-12-13T00:25:53;ivory Configuration Buckinghamshire;7;7
8;2020-12-13;Group XML;2020-12-12T21:10:13;2020-12-13T07:31:31;Licensed Plastic Bike;8;8
9;2020-12-13;bypassing;2020-12-13T12:57:10;2020-12-12T21:52:56;knowledge user;9;9
10;2020-12-12;SSL;2020-12-13T05:06:19;2020-12-13T10:08:08;zero administration Sausages bypassing;10;10
