id;code;description;type;color;abbr;hourly_excuse;daily_excuse;overtime_approval;normal_group;not_change_weekly;overtime_group;day_shift_multiplier;day_shift_day_length;day_shift_limit_low;day_shift_limit_up;shift_multiplier;shift_day_length;shift_limit_low;shift_limit_up;rounding;round_step;round_time;round_day;round_day_monthly;include_task;include_special_task;reserved;add_sub_annual_leave;created;modified;modified_user
1;Table;projection Versatile;18566;lavender;transmit;false;true;true;false;true;false;41701;;;;24149;;;;true;23683;96408;28989;76773;false;false;true;p;2020-12-12T21:34:40;2020-12-12T20:43:18;Communications
2;revol;withdrawal fresh-thinking;80503;white;Avon invoi;true;true;true;true;true;false;5548;;;;50179;;;;true;4763;90787;49854;81053;false;false;false;P;2020-12-13T15:53:34;2020-12-13T07:45:37;frame Granite
3;bypas;Division Consultant Human;52769;lime;Barbados D;false;true;false;true;true;true;80773;;;;90455;;;;false;24988;30425;2151;69877;true;true;true;L;2020-12-13T14:25:18;2020-12-13T01:44:23;Virginia
4;teal ;hierarchy incubate;85045;teal;workforce;false;true;true;true;false;true;50679;;;;38050;;;;false;36628;3156;71466;36158;false;false;false;A;2020-12-13T13:20:22;2020-12-13T01:31:39;digital
5;Handc;Bike;55120;yellow;Automated;true;false;false;false;false;false;77553;;;;78710;;;;false;34062;34819;1582;71258;false;false;false;R;2020-12-13T01:35:06;2020-12-12T20:31:53;Norfolk Island deposit
6;Indus;Networked;17615;purple;California;true;true;false;false;false;true;81701;;;;66504;;;;true;86679;83571;55848;81999;false;true;false;D;2020-12-13T15:14:34;2020-12-13T02:53:40;Persevering Steel Jamaica
7;IB;Home Loan Account overriding;51981;gold;Practical ;true;true;false;false;false;false;66623;;;;81711;;;;false;65904;53741;17089;241;false;false;false;S;2020-12-12T21:56:23;2020-12-13T05:42:57;Auto Loan Account
8;maxim;Agent;97180;red;Plastic;false;false;true;false;true;true;38587;;;;35668;;;;false;11494;17551;62725;97729;true;false;true;C;2020-12-13T17:22:20;2020-12-13T12:01:12;magnetic connecting virtual
9;seaml;PNG interactive;59239;turquoise;hard drive;true;true;false;true;false;true;86559;;;;5072;;;;false;25717;83291;73914;89947;false;true;false;p;2020-12-13T17:42:14;2020-12-13T05:43:43;Networked
10;dynam;Chair El Salvador Colon US Dollar mindshare;31327;lavender;Outdoors C;true;false;false;false;true;false;41586;;;;20544;;;;false;50578;95762;61822;83539;true;true;false;I;2020-12-13T04:00:48;2020-12-12T19:04:44;Personal Loan Account Music
