id;code;description;created;modified;modified_user
1;Benin;generate 1080p Shoes;2020-12-13T05:00:26;2020-12-13T10:07:19;directional European Monetary Unit (E.M.U.-6)
2;Direct 108;Berkshire enterprise;2020-12-13T00:42:47;2020-12-12T19:41:55;evolve Taka leverage
3;Analyst Be;bus;2020-12-13T17:14:12;2020-12-13T07:03:58;heuristic Salad Research
4;client-dri;Industrial;2020-12-13T06:49:53;2020-12-13T04:56:46;Beauty primary
5;Ergonomic ;Gloves Sri Lanka Rupee open-source;2020-12-13T14:27:33;2020-12-13T12:36:23;Producer Ergonomic Supervisor
6;Lithuania ;bandwidth;2020-12-12T19:28:23;2020-12-12T22:59:31;Italy
7;protocol;matrix;2020-12-12T22:59:31;2020-12-13T10:55:40;1080p Corporate Triple-buffered
8;Frozen Pub;Berkshire bus;2020-12-12T21:04:50;2020-12-13T08:49:59;Senior
9;Steel Saud;Lebanese Pound Ergonomic Granite Bike monitor;2020-12-12T20:47:06;2020-12-13T04:58:52;tan
10;Ferry Slee;Rhode Island;2020-12-13T18:28:40;2020-12-13T14:28:40;circuit
