id;daydate;status;total_hour;normal_hour;overtime_hour;reason_hour;absent_hour;week_overtime_hour;is_day_off;week_day;week_hour
1;2020-12-13;36860;4230;15411;22961;27610;63180;71391;false;51994;95307
2;2020-12-13;40170;33515;87071;91758;8565;70378;65831;false;10950;26104
3;2020-12-12;51440;19057;25448;42829;11992;64764;11439;false;12769;82691
4;2020-12-13;45750;25849;59967;43847;13754;23341;56639;false;66858;60121
5;2020-12-13;46324;65713;25253;40251;78141;53022;67514;true;68411;55527
6;2020-12-13;84374;28571;93255;86646;67887;71050;53249;false;81674;95362
7;2020-12-13;62142;87789;8538;98099;2821;88529;41286;true;83101;90265
8;2020-12-13;27943;17336;4847;68860;76084;1613;70096;false;17867;34672
9;2020-12-13;93325;38717;58376;9307;16272;36420;97722;false;71271;86972
10;2020-12-13;74270;73264;62063;98944;98623;54514;27549;true;90842;13574
