id;daydate;day_type;schedule_desc;default_schedule_desc;na_length;na_start;na_finish;ee_count;ee_info;status;start_time;finish_time;start_time_dif;finish_time_dif;start_late;finish_early;total_hour;normal_hour;overtime_hour;reason_hour;absent_hour;cweekly;weekly_hour;overtime_total;overtime_total_approved;overtime_total_not_approved;overtime_before;overtime_before_approved;overtime_before_not_approved;overtime_after;overtime_after_approved;overtime_after_not_approved;overtime_add;mee_count;mee_info
1;2020-12-13;3534;Branding;back-end;;2020-12-12T20:07:00;2020-12-13T03:03:41;25422;Strategist Analyst;48332;2020-12-12T21:43:35;2020-12-13T08:21:49;;;false;false;;;;;;Licensed R;;;;;;;;;;;;35084;Gorgeous Granite Fish Fantastic Concrete Towels Tasty
2;2020-12-13;63061;Platinum deposit;withdrawal morph leverage;;2020-12-13T16:37:40;2020-12-13T09:20:47;28614;Rustic;26533;2020-12-13T08:46:29;2020-12-12T20:28:53;;;true;false;;;;;;Sports Toy;;;;;;;;;;;;95242;Nevada Buckinghamshire
3;2020-12-13;5375;Assurance plum Intranet;overriding Tasty;;2020-12-13T18:37:46;2020-12-13T06:24:05;64996;India;74834;2020-12-12T21:25:55;2020-12-12T21:30:46;;;true;false;;;;;;Integratio;;;;;;;;;;;;63417;Sleek Fresh Bike Steel
4;2020-12-13;27647;wireless;content Euro;;2020-12-13T07:35:55;2020-12-13T05:21:37;37988;Dynamic compress;60617;2020-12-13T06:05:21;2020-12-13T06:22:54;;;false;false;;;;;;Cape coher;;;;;;;;;;;;7922;Path
5;2020-12-12;64030;payment;Afghani Persevering;;2020-12-13T16:36:17;2020-12-13T10:57:48;65687;Computers;2353;2020-12-13T11:29:14;2020-12-13T13:28:05;;;true;false;;;;;;Won;;;;;;;;;;;;8185;Canadian Dollar Cotton Savings Account
6;2020-12-13;73839;optimize incubate;bypassing XSS Pre-emptive;;2020-12-13T06:36:12;2020-12-13T04:15:05;48381;salmon reciprocal incentivize;24471;2020-12-12T23:33:05;2020-12-12T19:39:36;;;false;true;;;;;;Personal L;;;;;;;;;;;;54701;streamline
7;2020-12-12;70423;Cocos (Keeling) Islands Strategist;Personal Loan Account Wooden;;2020-12-13T15:14:52;2020-12-13T04:39:30;23398;pink productize;2751;2020-12-12T22:28:15;2020-12-12T21:43:56;;;true;true;;;;;;Chips Conf;;;;;;;;;;;;43600;Investor
8;2020-12-13;89960;experiences;Cambridgeshire;;2020-12-13T18:04:38;2020-12-13T14:17:11;3626;back-end;97352;2020-12-12T20:41:51;2020-12-13T00:55:48;;;true;false;;;;;;synthesizi;;;;;;;;;;;;26711;Rwanda
9;2020-12-13;80269;generate Industrial Architect;Public-key project Hong Kong;;2020-12-13T11:07:05;2020-12-13T00:40:40;64977;calculate;58180;2020-12-13T14:55:13;2020-12-12T23:05:35;;;false;true;;;;;;Intelligen;;;;;;;;;;;;57919;SSL
10;2020-12-13;77567;brand;deposit program Global;;2020-12-12T23:36:51;2020-12-12T21:51:28;12593;Pataca RAM;43682;2020-12-13T13:18:54;2020-12-13T14:48:12;;;true;true;;;;;;index;;;;;;;;;;;;79518;circuit transmit
