id;code;description;created;modified;modified_user
1;Virtual;transmitter Seychelles Rupee;2020-12-13T01:23:59;2020-12-12T22:14:41;Tools
2;Louisiana ;metrics;2020-12-13T13:02:12;2020-12-13T12:34:14;dynamic Chicken TCP
3;Tasty;navigating Intelligent Granite Shirt Savings Account;2020-12-13T16:56:04;2020-12-13T04:54:41;generate solution-oriented Specialist
4;Avon maxim;Dominica;2020-12-13T11:20:33;2020-12-13T11:22:59;Slovakia (Slovak Republic)
5;Clothing;fuchsia Generic Granite Table;2020-12-13T08:00:50;2020-12-13T16:17:30;Brand
6;Toys Home ;Universal Executive;2020-12-13T04:16:06;2020-12-13T00:18:22;South Dakota
7;infrastruc;engineer capacity;2020-12-13T16:22:47;2020-12-13T05:10:45;Tasty Cotton Shoes schemas program
8;Grocery;azure;2020-12-13T03:48:21;2020-12-12T21:33:58;multi-byte
9;New York T;Pants;2020-12-13T06:22:51;2020-12-13T12:21:04;Orchestrator
10;Pennsylvan;Handcrafted Steel Fish bus connect;2020-12-12T21:58:21;2020-12-13T16:13:47;online orchestrate quantifying
