id;start_date;end_date;use_work_contract;salary;created;modified;modified_user;employee_id
1;2020-12-12;2020-12-13;true;42401;2020-12-13T13:09:28;2020-12-13T16:40:54;Multi-tiered Wooden;1
2;2020-12-13;2020-12-13;true;39529;2020-12-13T09:18:37;2020-12-13T12:53:20;Forges National Bedfordshire;2
3;2020-12-12;2020-12-13;false;2280;2020-12-13T11:34:02;2020-12-13T04:14:26;Fantastic Fresh Pants;3
4;2020-12-12;2020-12-12;false;61463;2020-12-12T23:10:38;2020-12-13T02:43:07;Pre-emptive visualize;4
5;2020-12-13;2020-12-13;true;39242;2020-12-13T01:46:21;2020-12-13T15:39:36;Fork synergize Expanded;5
6;2020-12-13;2020-12-13;false;80737;2020-12-12T19:43:56;2020-12-13T16:08:13;Vision-oriented;6
7;2020-12-13;2020-12-13;false;72064;2020-12-13T00:30:43;2020-12-13T12:24:49;digital;7
8;2020-12-13;2020-12-13;false;20161;2020-12-13T14:15:32;2020-12-13T10:06:25;Shores Rustic;8
9;2020-12-13;2020-12-13;false;14518;2020-12-13T11:51:39;2020-12-12T21:27:31;Customer;9
10;2020-12-13;2020-12-12;false;96754;2020-12-13T01:35:30;2020-12-12T21:33:06;Human Gambia;10
