id;daydate;day_type;day_approved;overtime_explanation;overtime_approved_pay_time;reason_approved_pay_time;created;modified;modified_user;employee_id;schedule_id
1;2020-12-13;48710;false;complexity best-of-breed;;;2020-12-13T07:53:44;2020-12-13T09:19:13;Moldova Mayotte;1;1
2;2020-12-13;51374;true;Networked Personal Loan Account lime;;;2020-12-13T11:46:23;2020-12-13T08:19:56;Data;2;2
3;2020-12-13;82316;false;Savings Account white navigate;;;2020-12-13T10:51:26;2020-12-13T07:36:30;synthesizing Steel;3;3
4;2020-12-12;54517;false;Implementation;;;2020-12-13T01:00:41;2020-12-13T05:32:12;Money Market Account matrices Home Loan Account;4;4
5;2020-12-13;70207;false;Sleek Steel Hat monetize;;;2020-12-12T20:26:06;2020-12-12T22:27:25;Andorra;5;5
6;2020-12-13;29702;false;Toys Steel Administrator;;;2020-12-13T09:53:26;2020-12-13T04:17:06;Cambridgeshire interface;6;6
7;2020-12-13;2548;false;firewall Identity;;;2020-12-13T18:04:15;2020-12-13T07:19:49;parse Car;7;7
8;2020-12-13;17120;false;mobile Borders;;;2020-12-13T15:39:27;2020-12-12T21:21:35;EXE;8;8
9;2020-12-13;63742;false;Consultant facilitate hack;;;2020-12-13T16:07:57;2020-12-13T03:22:28;Grocery Health Brand;9;9
10;2020-12-13;23273;true;leading edge Cambridgeshire;;;2020-12-12T20:55:03;2020-12-13T12:07:36;clicks-and-mortar Forward Books;10;10
