id;employee_id;daydate;new_entry_time;new_exit_time;original_entry_time;original_exit_time;created;modified;modified_user;entry_exit_id
1;88815;2020-12-13;2020-12-13T04:40:51;2020-12-13T16:43:37;2020-12-12T21:57:34;2020-12-13T10:04:49;2020-12-13T05:48:03;2020-12-13T13:58:37;grey AGP;1
2;86665;2020-12-13;2020-12-13T13:43:38;2020-12-13T04:57:52;2020-12-13T05:18:17;2020-12-13T05:12:46;2020-12-13T12:25:56;2020-12-13T09:57:27;interface;2
3;40111;2020-12-12;2020-12-13T01:00:37;2020-12-13T10:36:33;2020-12-13T02:44:05;2020-12-13T05:40:31;2020-12-13T02:04:43;2020-12-13T15:44:13;Metal firewall;3
4;57357;2020-12-13;2020-12-13T00:24:09;2020-12-12T20:22:10;2020-12-13T18:09:07;2020-12-13T18:22:20;2020-12-13T08:38:31;2020-12-13T16:24:55;policy;4
5;91012;2020-12-12;2020-12-13T04:31:17;2020-12-13T15:18:32;2020-12-13T18:52:26;2020-12-13T00:01:38;2020-12-13T08:20:04;2020-12-13T04:19:32;Wyoming Internal Sports;5
6;381;2020-12-13;2020-12-12T22:12:14;2020-12-12T23:42:46;2020-12-13T03:37:12;2020-12-12T23:14:22;2020-12-12T22:48:28;2020-12-13T01:46:47;Expressway panel;6
7;73282;2020-12-13;2020-12-12T19:53:18;2020-12-13T07:06:35;2020-12-13T01:13:42;2020-12-13T11:50:28;2020-12-13T08:03:17;2020-12-13T07:10:38;New Zealand engage Beauty;7
8;30443;2020-12-13;2020-12-13T13:01:59;2020-12-13T07:38:20;2020-12-12T19:56:05;2020-12-12T19:09:34;2020-12-12T19:24:45;2020-12-13T04:56:24;Mauritius Rupee Expanded interface;8
9;1432;2020-12-13;2020-12-13T16:30:12;2020-12-13T13:32:30;2020-12-13T05:49:16;2020-12-13T15:12:21;2020-12-13T03:51:22;2020-12-13T02:44:59;Frozen;9
10;22272;2020-12-13;2020-12-13T17:07:38;2020-12-13T04:43:44;2020-12-12T22:28:49;2020-12-13T07:04:38;2020-12-12T20:37:16;2020-12-13T07:59:13;Tuna Tools Re-engineered;10
