id;description;access_type;use_timezone_calendar;access_result;access_count;access_total_count;counter_day;counter_week;counter_month;counter_reset_time;message_no;message_yes;created;modified;modified_user;gate_id;access_code_id;authorization_group_id
1;Costa Rican Colon capability Gloves;8400;true;true;2734;3383;73687;23574;67000;;e-markets;copying embrace;2020-12-13T12:18:12;2020-12-13T01:08:21;Avon Iowa;1;1;1
2;deliverables;76616;false;false;63314;62652;18622;5194;61998;;virtual withdrawal;Rubber;2020-12-13T17:28:56;2020-12-12T23:28:23;Investment Account Investment Account Aruba;2;2;2
3;bypassing solid state;24055;false;false;95283;82715;68091;16963;42627;;compressing Greece Avon;Games Wallis and Futuna;2020-12-13T16:20:47;2020-12-13T03:30:08;deposit International;3;3;3
4;system-worthy web-enabled;31231;false;false;83444;65584;57590;77338;5714;;sensor;Brunei Dollar;2020-12-13T09:04:05;2020-12-12T20:00:08;Cameroon withdrawal;4;4;4
5;navigating wireless Credit Card Account;95102;true;true;54854;64413;7319;44791;77619;;Argentine Peso Bedfordshire;Checking Account HTTP;2020-12-12T21:35:13;2020-12-13T16:51:49;SAS;5;5;5
6;best-of-breed;5029;false;true;50710;45281;20830;89721;13965;;Small Cotton Pizza;white New Mexico capability;2020-12-12T20:21:21;2020-12-13T03:35:30;EXE;6;6;6
7;card bypassing;62354;true;false;75350;88464;5306;66285;21092;;yellow payment;Ergonomic budgetary management P;2020-12-13T00:30:18;2020-12-13T03:46:05;incentivize;7;7;7
8;monitor optical connecting;71062;true;false;69393;1198;15980;96109;49408;;Practical Frozen Salad;Coordinator;2020-12-13T16:08:24;2020-12-13T13:05:17;synthesizing Generic;8;8;8
9;Tactics capacitor;96042;false;false;58274;8718;64179;11289;99479;;Nevada Steel Avon;Azerbaijanian Manat Minnesota;2020-12-13T00:13:24;2020-12-13T05:29:14;optical bandwidth Bedfordshire;9;9;9
10;neural global Shoes;58552;false;false;37667;54800;47738;22044;46825;;Washington;Intelligent;2020-12-13T02:58:29;2020-12-13T10:45:48;Dynamic maximized;10;10;10
