id;code;description;created;modified;modified_user
1;THX Ville;Borders Pants intangible;2020-12-13T02:16:16;2020-12-12T19:45:48;mint green South Georgia and the South Sandwich Islands Italy
2;structure;Administrator Legacy Health;2020-12-13T11:56:52;2020-12-13T14:15:50;Azerbaijan
3;utilisatio;Internal Wyoming;2020-12-13T07:17:25;2020-12-13T13:50:34;compress radical capacitor
4;Infrastruc;projection;2020-12-13T13:22:09;2020-12-13T10:14:53;Wooden system
5;payment co;Ville;2020-12-12T21:43:20;2020-12-13T06:03:09;Iowa Towels
6;driver;TCP Zambian Kwacha knowledge user;2020-12-13T15:14:48;2020-12-13T00:16:31;copy wireless Rupiah
7;Minnesota ;index calculating;2020-12-12T22:49:01;2020-12-13T09:36:32;cutting-edge SCSI
8;Handmade F;USB Pre-emptive;2020-12-13T16:38:11;2020-12-13T11:29:16;SQL payment
9;iterate;payment Operations;2020-12-12T20:25:08;2020-12-13T15:44:27;Personal Loan Account
10;Fresh ubiq;compressing Ball interface;2020-12-12T20:49:04;2020-12-13T16:39:13;optical
