id;job_name;description;procedure_name;start_datetime;end_datetime;is_active;is_fixed;is_recursive;recursive_minute;start_time;end_time;lastrun_datetime;parameter;daytime;type;export_timecardrec;import_transaction;import_timecardrec;process_dailyanalysis;process_daily;process_entry_exit;process_holiday_leave;process_monthly;update_unused_card;process_type
1;Producer Infrastructure;Ergonomic Metal Car;Democratic People's Republic of Korea Analyst;2020-12-13T14:22:03;2020-12-13T11:13:10;false;false;true;17662;;;2020-12-13T07:14:09;Incredible Manager Chief;;8325;false;true;true;true;true;false;true;true;true;18794
2;calculating Libyan Arab Jamahiriya;Generic Granite Car;interfaces Rufiyaa;2020-12-13T07:40:34;2020-12-13T06:40:35;true;false;false;38702;;;2020-12-13T00:10:24;revolutionize interactive Towels;;98583;false;true;true;false;true;false;false;true;true;8736
3;mobile bandwidth-monitored;Total Future user-centric;Functionality Metal International;2020-12-13T11:10:08;2020-12-12T23:07:46;false;false;true;43260;;;2020-12-12T22:56:43;Mission Bedfordshire navigate;;4892;true;false;true;true;false;true;true;false;false;8870
4;neural Soft;Incredible Granite Bike Yuan Renminbi;Sausages;2020-12-13T03:17:23;2020-12-12T23:22:57;true;true;false;8184;;;2020-12-13T03:05:45;primary disintermediate JSON;;99149;false;true;true;true;false;true;false;false;true;82083
5;whiteboard;teal;customized bandwidth Accounts;2020-12-13T06:58:52;2020-12-12T19:15:31;false;true;false;75149;;;2020-12-13T03:30:33;Shoes seize;;64205;true;false;false;true;false;true;true;false;false;9970
6;Manager composite;Grove;Forint;2020-12-13T09:33:10;2020-12-13T04:44:38;false;true;false;5794;;;2020-12-13T13:20:00;Human open-source;;80261;true;false;false;true;false;false;true;false;true;91758
7;Soft;bypass infrastructure sky blue;AI quantify Personal Loan Account;2020-12-13T17:21:48;2020-12-13T19:06:24;true;false;false;37396;;;2020-12-13T14:09:25;Georgia connect;;40978;true;false;false;false;true;false;false;true;false;72602
8;Connecticut emulation;Guinea-Bissau;e-services grey bluetooth;2020-12-13T02:38:49;2020-12-13T05:54:15;false;false;true;87334;;;2020-12-13T03:37:42;Berkshire;;51970;false;false;false;true;false;false;false;true;false;50098
9;Strategist Incredible Rubber Towels 24/7;Borders Chips Movies;calculating blue;2020-12-13T03:09:38;2020-12-13T15:42:56;true;true;false;57576;;;2020-12-13T00:42:18;withdrawal Bacon Customer-focused;;7873;false;true;true;true;true;false;true;false;false;25936
10;Lake;reboot;hard drive;2020-12-13T15:53:44;2020-12-13T03:51:39;true;false;false;25175;;;2020-12-13T17:45:42;Designer Checking Account multi-tasking;;75186;true;true;true;true;true;false;false;false;true;75463
