id;code;description;created;modified;modified_user
1;relationsh;primary orchestrate Borders;2020-12-13T11:50:18;2020-12-13T14:31:40;SAS Practical
2;olive Savi;Beauty SQL;2020-12-13T14:36:29;2020-12-13T04:42:12;HTTP Music strategy
3;invoice Co;Tactics;2020-12-12T23:31:56;2020-12-13T16:52:44;Delaware bleeding-edge
4;Credit Car;vertical;2020-12-13T02:05:56;2020-12-13T19:14:16;foreground Bolivia Concrete
5;Front-line;Web Games relationships;2020-12-13T08:55:54;2020-12-12T20:03:40;transmitting New Jersey
6;Towels;Up-sized Bedfordshire;2020-12-13T03:57:44;2020-12-13T11:12:44;Baby
7;calculatin;back up;2020-12-13T10:42:23;2020-12-13T18:00:04;Personal Loan Account Concrete
8;Functional;Saint Helena Pound deposit;2020-12-13T06:08:55;2020-12-12T21:38:12;Virtual Hat
9;impactful ;transmitting Outdoors quantifying;2020-12-13T00:37:04;2020-12-13T02:45:10;Money Market Account
10;Danish Kro;Automotive incremental primary;2020-12-13T09:12:31;2020-12-13T10:41:47;Wyoming Seychelles Rupee
