id;line_no;description;header_day;header_hour;add_sub_ss;add_sub_tax;add_sub_total;transfer_next_month;init_day;init_hour;complete_line_no;difference_line_no;positive_value_line_no;negative_value_line_no;balance_type;missing_ss_day_type;salary_days;salary_hours;reserved;created;modified;modified_user
1;19675;Games Dynamic;back-end;Tactics;T;P;d;false;99300;45963;57310;19155;64461;22702;78472;reg;44709;69338;false;2020-12-13T14:55:01;2020-12-13T07:00:29;Tools Borders
2;90725;Springs bandwidth parsing;sky blue;hack;I;F;K;false;49135;39190;76546;4178;13744;11126;69675;JBO;92112;50911;true;2020-12-13T18:29:08;2020-12-13T17:48:31;withdrawal
3;28239;Re-contextualized red;Compatible;Berkshire;f;G;B;false;56893;76354;89224;58874;66517;68833;4197;Isl;56001;54160;false;2020-12-13T13:43:40;2020-12-13T13:17:55;Uruguay Cheese Rustic Metal Salad
4;16918;interactive Fresh;functionalities;deploy payment;A;r;w;true;29045;15913;97060;26650;64351;72854;17562;pro;37385;77793;false;2020-12-12T21:25:40;2020-12-13T14:22:26;Awesome
5;97366;calculating;Vermont asymmet;Generic Granite;R;t;W;true;77232;60847;9230;97570;19822;38242;73649;sol;1203;25546;false;2020-12-12T23:25:04;2020-12-13T17:27:27;sensor Principal upward-trending
6;2517;Inlet;payment;Rand disinterme;h;h;p;false;77281;91793;95823;90518;4530;12438;31532;Inc;65525;20615;true;2020-12-13T00:56:32;2020-12-13T15:59:23;Philippines Refined open-source
7;41350;multi-byte Cambridgeshire;Research gold C;repurpose;W;c;C;true;22626;64901;8923;84518;39128;96729;92435;Rev;94261;49014;true;2020-12-13T09:44:14;2020-12-13T12:22:18;quantify Money Market Account
8;31792;card Montana Personal Loan Account;SDD Wooden synt;Reverse-enginee;C;C;C;false;84608;97274;68867;13009;93198;30472;54861;mis;90439;18035;true;2020-12-13T12:08:38;2020-12-13T08:24:29;port AI
9;9401;copying bandwidth;Handcrafted Rub;bandwidth orche;P;C;I;false;85650;36548;15106;63205;58922;99408;46117;Bor;34269;53311;true;2020-12-13T15:10:08;2020-12-13T01:00:10;driver synthesizing
10;96049;Ameliorated calculating;Cotton connecti;Realigned wirel;O;i;G;false;76292;96911;25501;20117;24788;76328;43742;Tow;75326;19430;false;2020-12-13T09:47:32;2020-12-13T12:24:39;web-enabled Club
