id;add_sub;source;oninit;onnormal;created;modified;modified_user;monthly_line_id;category_id
1;S;87476;true;true;2020-12-13T17:59:57;2020-12-13T07:10:11;invoice Avon;1;1
2;M;48389;false;false;2020-12-12T21:00:34;2020-12-13T10:16:31;Vermont Liaison ubiquitous;2;2
3;w;13619;false;true;2020-12-13T08:12:09;2020-12-12T19:40:38;circuit Knolls;3;3
4;A;93480;false;true;2020-12-13T09:57:49;2020-12-13T09:37:14;program Wooden grow;4;4
5;S;74654;true;true;2020-12-13T14:33:36;2020-12-13T08:24:04;monitor Customizable;5;5
6;K;95999;false;true;2020-12-13T10:14:37;2020-12-13T01:36:55;Roads;6;6
7;I;12124;false;false;2020-12-13T01:43:17;2020-12-13T04:59:05;Intuitive;7;7
8;C;79579;true;false;2020-12-13T12:27:20;2020-12-13T17:44:04;flexibility Orchestrator Research;8;8
9;C;69012;true;true;2020-12-13T05:21:03;2020-12-13T10:53:33;matrix;9;9
10;M;42549;false;true;2020-12-12T20:17:57;2020-12-13T10:43:38;Shoes;10;10
