id;date_year;date_month;date_first;date_last;total_day;total_hour;ss_day;tax_day;employee_id
1;6493;12639;2020-12-12;2020-12-13;63241;49376;62920;37997;1
2;14810;98926;2020-12-13;2020-12-13;9511;89976;46792;61369;2
3;54922;29423;2020-12-13;2020-12-13;80816;80256;23695;76836;3
4;72044;61328;2020-12-13;2020-12-13;60010;43753;9852;21238;4
5;60359;10746;2020-12-13;2020-12-12;31467;86158;51678;19537;5
6;42350;1176;2020-12-13;2020-12-12;21764;98786;71326;11240;6
7;24685;46621;2020-12-13;2020-12-13;98219;19683;16708;26807;7
8;99235;65018;2020-12-13;2020-12-13;60328;34501;12863;60171;8
9;51229;18771;2020-12-13;2020-12-13;40347;58787;11586;60782;9
10;13623;56356;2020-12-12;2020-12-13;62972;14355;529;8044;10
