id;monthly_line_id;annual_leave_day;workday;paid;regular_day_hours;regular_night_hours;sick_leave_paid_company_hours;sick_leave_paid_ssk_hours;sixth_day_notwork_hours;seventh_day_notwork_hours;holiday_notwork_hours;admin_leave_hours;admin_leave_art_31_hours;annual_leave_hours;nurse_leave_hours;ot_regular_day_hours;ot_reg_art_15_b_1_hours;ot_reg_art_15_b_2_hours;ot_reg_emergency_hours;ot_sixth_day_notwork_hours;ot_sixth_day_over_5_hours;ot_sixth_day_emergency_hours;ot_seventh_day_work_hours;ot_seventh_day_over_75_hours;ot_seventh_day_emergency_hours;ot_holiday_work_hours;ot_holiday_night_work_hours;ot_holiday_excess_hours;ot_holiday_emergency_hours;reg_night_art_16_g_hours;leave_without_paid_hours;absence_without_paid_hours;birth_code;death_code;incc_permission_code;special_exemption;special_exemption_10;special_exemption_05;unused_allumpsum;notice_pay;severance;garnish_salary;garnish_bonus;alimony;sick_leave_difference_pay;annual_leave_advance;tdy_advance;other_advance;tdy_number;field_1;field_2;field_3;monthly_id
1;33866;87992;86094;73129;6292;2252;48079;78804;30651;41180;9252;44501;55179;1192;97522;54929;92915;83930;12940;78159;83837;12306;49189;45438;44340;88020;33373;37986;16045;22895;47234;55413;72970;55693;H;70008;69849;21006;39354;20688;75770;int;onl;54972;45132;89758;15406;74807;4105;25681;21449;34373;1
2;80915;39514;12104;43033;49100;67816;26066;32591;66629;14061;69576;20109;31103;56562;95249;54872;2339;95807;29711;86267;58136;42635;20065;91432;39655;28161;44121;80015;87988;69411;59625;21001;17180;99066;P;66618;6806;34361;75983;95579;90020;dep;web;12226;49644;9395;41191;38407;15216;40265;53920;23599;2
3;17301;75726;18582;66353;75153;13194;9924;1150;16495;72696;57702;98160;38842;47640;73128;9261;69257;18618;56382;59956;58816;72022;48209;89741;89018;90898;28926;44609;42603;90446;66973;78599;75090;16516;N;93220;96619;30601;19156;47442;21738;Chi;New;82428;33093;59822;83042;13292;98717;76575;67261;13840;3
4;74147;68040;74467;76710;64504;46884;15320;78997;29922;32733;79672;36511;76013;79533;31849;71475;37275;6772;45121;25770;94235;69526;58227;40540;69265;49318;69539;51846;76802;79347;32749;27426;86917;90304;M;55147;75839;10945;79890;81720;53168;att;Dir;96835;83497;5185;6525;83516;27472;95104;8568;49401;4
5;31097;14861;58824;92819;73841;71511;81354;89971;95387;30724;51673;15232;98521;1789;8196;40409;21602;6242;82374;47565;50102;60803;75961;1707;41413;55956;50350;19652;97196;22033;28566;181;73596;58974;A;46673;34460;68042;47170;17787;35728;ent;onl;13142;96651;62143;95432;49183;60514;21001;12172;75720;5
6;27767;98965;27922;58720;42989;55259;5587;38106;68504;64381;31907;11166;64639;53688;45708;15272;69008;96864;79016;15029;29546;93996;56813;28480;80933;63777;89990;62917;85393;1183;6592;28597;70732;80481;A;61460;65572;66638;23515;37876;67041;Ame;Web;98228;75953;22879;72984;31127;92906;91737;42160;19532;6
7;61648;90837;66501;90271;81832;32899;67752;24150;78460;42562;26317;69455;88976;76409;12675;47284;20085;3165;62446;70267;81079;38625;16339;20203;69835;21110;2493;17762;68081;26353;53263;67465;54483;55860;F;21421;29587;48972;94627;58459;24909;Bor;Rub;1661;38149;88802;6874;56136;47821;90563;60323;56260;7
8;54601;6998;33684;67612;39678;13095;57475;49890;5381;4252;17054;92010;5963;11832;70710;87179;47749;83439;2064;43636;15808;8901;71769;48715;23359;49399;32364;58429;63318;98235;18049;44128;34238;67721;P;89960;93007;85417;7644;65787;97853;Cre;Leg;96812;96990;45327;28913;98573;89233;70594;92451;37046;8
9;92490;26569;22870;21578;85406;72916;93609;94483;56779;88074;57623;5283;43754;33734;50689;17693;22778;29333;38960;18638;50843;16409;25640;86474;21224;590;75547;33491;70133;23228;16870;89464;3262;3160;a;12500;32831;4860;86044;10576;40029;Cus;plu;86472;55286;22258;81934;85452;99456;96623;24787;1271;9
10;81428;38737;46620;2862;64103;88455;75178;33914;30736;94986;40396;24297;32426;49037;6468;32441;58776;73906;56591;80452;15900;41339;11898;10839;3483;64667;47806;95452;66172;18319;129;25373;25164;17897;s;39934;44296;65402;37276;68317;27160;par;ala;91315;54000;48785;21148;74232;94690;68659;86471;80827;10
