id;code;description;created;modified;modified_user
1;JSON Fully;Refined;2020-12-13T01:43:36;2020-12-13T17:57:54;deposit back-end
2;Codes spec;Synergized;2020-12-13T10:08:29;2020-12-13T10:43:34;Health Internal
3;Swiss Fran;Brand Fantastic Granite Mouse;2020-12-13T06:44:10;2020-12-13T15:21:36;teal Usability 1080p
4;SAS facili;extend Credit Card Account;2020-12-13T04:11:27;2020-12-12T22:12:15;impactful
5;connect re;Small;2020-12-13T00:23:06;2020-12-13T11:41:23;Borders Credit Card Account
6;Vista Smal;feed;2020-12-12T23:13:27;2020-12-13T17:44:51;Direct protocol payment
7;Pizza ente;Uruguay Incredible Synchronised;2020-12-13T02:01:48;2020-12-13T13:14:48;Belarussian Ruble quantifying
8;Home Plast;applications maroon virtual;2020-12-12T20:52:42;2020-12-13T08:06:10;Intranet
9;fresh-thin;Legacy Clothing synthesize;2020-12-12T19:40:16;2020-12-13T03:49:38;Practical
10;plum Auto ;redundant;2020-12-13T13:59:05;2020-12-13T03:23:09;Credit Card Account Handcrafted
