id;start_time;created;modified;modified_user;normal_group_id;category_id
1;;2020-12-13T01:02:20;2020-12-13T15:03:10;heuristic Global;1;1
2;;2020-12-13T12:14:57;2020-12-13T00:32:33;Intelligent Metal Towels;2;2
3;;2020-12-12T19:55:40;2020-12-13T13:43:22;Oman;3;3
4;;2020-12-13T06:02:11;2020-12-13T04:45:36;matrix Niger;4;4
5;;2020-12-13T09:18:46;2020-12-13T12:36:43;Guinea Franc microchip payment;5;5
6;;2020-12-13T14:01:25;2020-12-13T01:18:00;Tools e-tailers Bacon;6;6
7;;2020-12-13T16:48:22;2020-12-13T08:43:38;Iranian Rial invoice;7;7
8;;2020-12-12T22:40:30;2020-12-12T21:41:06;efficient;8;8
9;;2020-12-13T13:04:39;2020-12-13T05:00:10;complexity Programmable;9;9
10;;2020-12-13T18:26:51;2020-12-13T16:37:42;Seamless 5th generation;10;10
