id;code;description;created;modified;modified_user
1;payment co;Avon;2020-12-13T11:48:26;2020-12-13T16:46:34;networks
2;Ethiopia C;Intelligent;2020-12-13T03:49:45;2020-12-13T09:44:22;El Salvador Colon US Dollar Ergonomic Plastic Computer District
3;Investment;Practical;2020-12-13T18:23:54;2020-12-13T04:52:52;overriding Islands Louisiana
4;haptic;Credit Card Account methodical Dynamic;2020-12-13T17:11:10;2020-12-13T03:03:58;cross-platform
5;Steel SQL ;Steel;2020-12-13T03:56:01;2020-12-13T02:03:11;programming Avon SMTP
6;Rhode Isla;Austria;2020-12-13T15:53:59;2020-12-12T20:07:03;niches Somali Shilling transmitter
7;Forward bl;Credit Card Account Orchestrator;2020-12-13T17:07:58;2020-12-13T04:05:32;Integration Handcrafted
8;Investment;Savings Account;2020-12-13T13:50:16;2020-12-13T17:12:48;Turkish Lira compressing
9;e-services;bandwidth global;2020-12-13T01:15:06;2020-12-12T20:40:48;background COM Internal
10;Quality mo;optical parse Jewelery;2020-12-13T09:28:11;2020-12-13T10:57:20;user-facing
