id;code;description;created;modified;modified_user
1;Implementa;invoice paradigms Fantastic;2020-12-12T22:11:51;2020-12-13T00:29:16;Tactics
2;Web Licens;input Concrete Corporate;2020-12-13T17:42:32;2020-12-13T11:47:52;Cayman Islands Dollar National
3;well-modul;reboot Savings Account payment;2020-12-13T06:00:28;2020-12-13T14:54:30;circuit
4;zero toler;cultivate Intelligent Wooden;2020-12-13T18:25:21;2020-12-13T09:03:54;system Cambridgeshire Naira
5;Small Fres;Parks JBOD wireless;2020-12-12T23:25:07;2020-12-12T23:52:30;robust Sri Lanka
6;Riel Bedfo;Berkshire Product;2020-12-13T01:33:41;2020-12-13T06:46:34;fuchsia blue Industrial
7;Personal L;generating;2020-12-13T11:40:17;2020-12-12T21:15:00;Integrated violet Cross-group
8;Secured;Concrete;2020-12-13T06:55:15;2020-12-13T01:19:08;Front-line Rubber Personal Loan Account
9;Boliviano ;Infrastructure website bypass;2020-12-13T12:52:05;2020-12-13T06:40:28;Fiji Right-sized Cotton
10;grey Shore;indexing one-to-one Chips;2020-12-12T22:20:55;2020-12-13T05:08:55;Cheese Credit Card Account
