id;description;close_month;check_early_entry_late_exit;check_late_entry_early_exit;apply_tolerance_first_entry_last_exit;check_prev_and_next_day_schedule;use_prev_day_shift_group;complete_work_when_missing_entry_exit;check_weekly_work_hours;calc_weekend_days_from_daily;holiday_payment;weekly_work_days_for_holiday_payment;min_weekly_work_hour_for_holiday_payment;check_only_last_consecutive_working_days;apply_ratio;divide_the_no_of_worked_days;no_holiday_payment_in_case_of_absence;at_least_one_day_absence;transfer_extra_hours;created;modified;modified_user
1;Sausages cross-platform;false;true;true;true;true;false;true;true;true;true;45272;67750;false;false;false;true;false;true;2020-12-13T02:42:04;2020-12-13T12:13:51;Licensed Plastic Shoes full-range Product
2;customer loyalty Fantastic Wooden Salad;false;false;false;false;false;false;true;false;true;false;51284;57595;false;true;false;false;true;false;2020-12-13T11:20:45;2020-12-13T01:11:52;Auto Loan Account Flat Assurance
3;Metal Grass-roots Metal;true;true;true;false;true;false;false;true;false;true;40121;20025;false;true;true;true;false;false;2020-12-13T16:31:47;2020-12-13T04:46:11;open-source Table
4;Steel;true;false;true;false;true;true;true;true;false;true;76056;9979;false;true;false;false;false;false;2020-12-13T17:17:16;2020-12-13T17:44:57;dot-com navigating Bike
5;white Berkshire;true;false;true;true;false;true;false;false;false;false;3731;708;false;true;true;true;false;false;2020-12-12T23:52:02;2020-12-13T02:01:36;Internal User-friendly connecting
6;well-modulated Future hardware;false;true;true;true;false;false;true;true;false;false;98008;3912;true;false;true;false;false;false;2020-12-12T22:02:14;2020-12-13T15:52:11;magnetic Horizontal expedite
7;Sleek Frozen Bacon Jewelery clicks-and-mortar;false;false;true;true;false;false;true;true;true;false;94753;56623;true;false;false;true;false;true;2020-12-13T05:53:40;2020-12-13T10:21:59;global Vista Music
8;object-oriented Berkshire Georgia;true;false;true;true;true;false;true;true;true;true;50818;26134;false;true;true;true;true;false;2020-12-13T15:33:14;2020-12-13T05:44:20;Faroe Islands Forges
9;synthesize;true;true;false;true;false;false;true;true;true;false;89450;61730;false;false;true;false;false;true;2020-12-13T09:25:11;2020-12-13T03:37:56;Architect
10;haptic circuit Lead;true;false;false;true;false;false;true;true;true;true;61479;25024;false;false;true;true;true;false;2020-12-12T21:47:24;2020-12-13T09:49:13;Riel Organized
