id;description;not_process_prev_day;process_missing_entry_exit;process_unworked_day;find_best_matching_schedule;assign_matching_schedule_as_waiting;flexible_weekend;check_only_on_weekend_day;use_prev_day_shift_group;created;modified;modified_user
1;hack Usability;false;false;true;true;true;true;true;false;2020-12-13T17:23:49;2020-12-13T13:04:09;knowledge base Personal Loan Account deposit
2;Fantastic Wooden Fish Bacon;true;true;true;false;true;true;false;false;2020-12-13T10:06:55;2020-12-13T12:32:15;Creative customized protocol
3;protocol Assistant;true;true;true;false;false;true;true;true;2020-12-12T22:50:03;2020-12-13T07:02:44;systematic
4;real-time;false;true;false;true;false;false;true;true;2020-12-13T00:16:18;2020-12-13T09:29:27;Officer
5;Grove Re-contextualized;true;false;true;true;false;true;false;true;2020-12-12T22:13:38;2020-12-12T19:58:15;Producer IB Auto Loan Account
6;multi-byte Facilitator web-enabled;true;false;true;true;false;true;true;false;2020-12-13T17:23:49;2020-12-12T21:15:26;tertiary mindshare
7;Cotton;false;true;false;false;false;false;true;false;2020-12-13T02:18:37;2020-12-13T04:06:39;moderator
8;Credit Card Account;true;false;true;false;false;false;true;true;2020-12-13T01:56:15;2020-12-13T06:00:02;Fresh Auto Loan Account Station
9;Clothing Front-line back-end;false;false;false;false;false;true;false;true;2020-12-13T02:24:41;2020-12-13T08:48:26;Human deploy San Marino
10;Chicken;true;false;false;false;true;false;true;false;2020-12-12T22:21:19;2020-12-12T20:39:37;convergence Washington
