id;code;hour_control;control_min;control_max;total_count;transfer_category_id
1;Kwanza Intelligent Azerbaijanian Manat;true;36278;93579;94697;1
2;instruction set Licensed Soft Hat Future-proofed;true;75927;50481;24259;2
3;monitor Plains compressing;true;95109;50204;7365;3
4;lime;false;65368;90634;6361;4
5;Camp;true;64265;7017;62298;5
6;Rhode Island e-tailers;true;66804;34524;85039;6
7;transmit Associate;true;4450;68777;33708;7
8;hacking;false;61120;27336;63000;8
9;cyan;false;45139;22516;51266;9
10;generating;true;36561;72778;27566;10
