id;start_date;end_date;paid_day;paid_hour;day_off;holiday;military;travel;description;created;modified;modified_user;approved;approved_user;approved_daytime;approved_1;approved_1_user;approved_1_daytime;approved_2;approved_2_user;approved_2_daytime;rejected;rejected_daytime;rejected_user;employee_id
1;2020-12-13;2020-12-13;11304;;32090;64606;54128;41087;Knolls Stravenue;2020-12-13T06:53:03;2020-12-12T22:59:20;input Seamless Estate;true;Guadeloupe Divide deposit;2020-12-12T22:29:09;true;visualize strategize Thailand;2020-12-12T22:21:00;false;IB Cambridgeshire Belarussian Ruble;2020-12-13T08:37:49;true;2020-12-13T05:27:09;Triple-buffered;1
2;2020-12-12;2020-12-13;57170;;38936;2317;98473;77023;feed budgetary management;2020-12-13T12:14:35;2020-12-12T21:22:55;Trinidad and Tobago;true;multimedia;2020-12-12T20:29:28;false;azure Practical Steel Hat architect;2020-12-13T09:11:22;false;Director;2020-12-13T04:36:20;false;2020-12-13T10:16:46;Cross-platform reboot hacking;2
3;2020-12-12;2020-12-13;27278;;96590;2949;87266;15045;Rubber Front-line Bedfordshire;2020-12-12T23:43:50;2020-12-13T06:56:13;Berkshire Sleek;false;Personal Loan Account;2020-12-13T12:19:12;false;strategize Fort Tasty;2020-12-12T22:38:23;true;Steel withdrawal;2020-12-13T07:05:48;true;2020-12-13T13:19:36;Small Soft Towels Cloned;3
4;2020-12-13;2020-12-12;73455;;28603;56320;84939;45606;Computers optical;2020-12-12T23:45:36;2020-12-13T19:21:18;Guarani;true;real-time;2020-12-13T00:33:04;false;Netherlands Antillian Guilder indexing Plastic;2020-12-13T06:35:39;true;Tasty;2020-12-13T09:08:43;true;2020-12-12T20:11:57;Sleek RSS Massachusetts;4
5;2020-12-13;2020-12-12;62470;;76400;59331;45361;59243;payment Florida;2020-12-13T03:34:02;2020-12-13T03:46:22;Groves;false;Ergonomic Wooden Chicken THX;2020-12-13T08:03:55;false;Georgia;2020-12-13T13:03:09;false;Intranet;2020-12-12T20:53:16;true;2020-12-13T09:56:51;Money Market Account;5
6;2020-12-13;2020-12-12;24242;;83345;26082;20139;37267;Universal;2020-12-13T02:19:55;2020-12-12T19:43:44;Garden Metal;true;Virtual Synergized Minnesota;2020-12-13T09:53:23;false;Rue calculate Auto Loan Account;2020-12-13T04:20:00;false;Danish Krone deploy;2020-12-13T15:09:06;false;2020-12-13T01:41:26;parse;6
7;2020-12-13;2020-12-13;66429;;47999;79437;84293;25779;Organized Tanzanian Shilling;2020-12-13T13:21:01;2020-12-13T14:05:18;online;true;International;2020-12-13T07:30:13;true;system Baby;2020-12-13T15:08:05;true;Saudi Arabia;2020-12-12T22:19:28;false;2020-12-13T01:33:17;invoice;7
8;2020-12-13;2020-12-13;66909;;45578;96227;14689;57313;France SDD schemas;2020-12-13T02:17:16;2020-12-13T04:21:31;bluetooth;false;Missouri Applications overriding;2020-12-13T03:11:04;true;architectures microchip SCSI;2020-12-13T12:08:30;false;Granite 24/7 Rubber;2020-12-13T14:37:34;true;2020-12-13T05:32:43;Human matrix;8
9;2020-12-12;2020-12-12;12666;;99102;98164;16489;73236;Avon;2020-12-12T20:35:54;2020-12-13T07:19:46;transmit sexy;false;Investor;2020-12-13T10:09:20;false;Chief;2020-12-12T21:56:48;true;Malaysian Ringgit;2020-12-13T17:49:11;true;2020-12-13T14:13:20;generating;9
10;2020-12-12;2020-12-13;4252;;65817;61768;29666;67121;Unions;2020-12-13T07:34:42;2020-12-13T13:31:44;azure;true;Fully-configurable;2020-12-13T09:34:34;true;Hryvnia index alliance;2020-12-13T03:50:40;false;Rustic;2020-12-12T23:06:24;false;2020-12-13T04:19:59;card Ergonomic;10
