id;code;description;type;color;na_start;na_finish;na_length;na_length_max;end_of_day;end_of_day_priority;na_start_flex;na_complete;day_shift;priority;daily_excuse;cut_one_hour;overtime_from_end;not_cut_meal_overtime;use_first_in_last_out;summary_group;created;modified;modified_user
1;secured li;Supervisor Re-engineered;43303;grey;;;;;;false;true;false;true;true;false;false;true;true;true;Handcrafte;2020-12-13T12:24:08;2020-12-12T22:09:09;platforms Alaska action-items
2;radical;payment;90489;black;;;;;;true;false;false;true;false;false;false;true;false;true;algorithm ;2020-12-12T23:18:06;2020-12-13T13:15:26;Bedfordshire Branding
3;web-enable;Central invoice Awesome;67587;turquoise;;;;;;false;true;false;true;false;true;false;false;false;true;magenta tu;2020-12-13T04:50:31;2020-12-13T12:55:45;Viaduct
4;Home Loan ;Handcrafted Steel Tuna;76838;mint green;;;;;;true;true;true;true;true;true;false;false;false;false;RAM Brandi;2020-12-13T11:08:46;2020-12-13T17:27:59;deposit pixel
5;bluetooth;Auto Loan Account;92654;pink;;;;;;true;true;true;true;true;true;true;false;true;false;Senior Met;2020-12-13T04:44:04;2020-12-13T16:24:53;Agent interactive Lithuanian Litas
6;generating;generating Bedfordshire Team-oriented;29150;black;;;;;;true;true;false;true;false;true;true;false;true;true;Music invo;2020-12-13T09:22:45;2020-12-13T19:34:06;Jersey programming niches
7;Brand Tunn;alarm;74530;orange;;;;;;false;true;true;true;false;false;true;false;true;false;hard drive;2020-12-13T10:44:24;2020-12-13T09:01:36;plug-and-play magenta explicit
8;quantifyin;dynamic Multi-layered;72959;olive;;;;;;false;true;false;false;false;false;true;true;true;true;Awesome Pl;2020-12-13T18:18:40;2020-12-13T09:31:59;PNG sensor
9;Engineer;Handmade Frozen Bacon;18455;red;;;;;;true;true;true;false;false;true;true;true;false;true;Burundi Fr;2020-12-13T10:37:26;2020-12-13T07:40:16;invoice Rustic Steel Bacon
10;Gorgeous t;Liaison Handcrafted;84215;magenta;;;;;;true;false;true;true;true;false;false;false;false;false;visionary;2020-12-13T10:55:46;2020-12-13T13:32:02;Keyboard
