id;start_time;end_time;in_manual;in_process;is_finish;process_no;process_status
1;2020-12-12T20:04:39;2020-12-13T14:52:15;false;true;true;quantifying intuitive;Bedfordshire Markets
2;2020-12-13T03:57:45;2020-12-12T22:55:37;true;true;true;Kansas copying;Tasty Concrete Towels Inverse knowledge base
3;2020-12-13T02:21:37;2020-12-12T22:52:33;false;true;false;Automated Station Viaduct;FTP
4;2020-12-13T03:14:52;2020-12-13T14:01:57;true;true;false;Tasty Rubber Mouse Up-sized viral;indexing architect
5;2020-12-13T06:57:24;2020-12-13T06:02:58;true;true;true;bypass Engineer;Concrete Indiana bus
6;2020-12-13T16:40:10;2020-12-13T07:31:15;true;false;true;Rubber Wooden;generating online
7;2020-12-12T23:09:34;2020-12-13T17:35:37;false;true;true;District Table Tunisia;Pound Sterling hacking Auto Loan Account
8;2020-12-13T01:20:06;2020-12-12T21:14:05;true;true;true;zero tolerance Health Curve;Tennessee solutions
9;2020-12-13T11:24:19;2020-12-13T17:37:39;false;false;false;Practical Fresh Chips calculate;Web
10;2020-12-13T07:29:48;2020-12-12T20:30:12;true;false;true;Tuna;Officer International
