id;code;description;created;modified;modified_user
1;e-enable E;24/365;2020-12-13T08:14:49;2020-12-13T11:44:41;fuchsia Directives
2;Small prim;Estates Florida deliverables;2020-12-13T14:47:04;2020-12-13T19:36:03;user-centric Shoes feed
3;overriding;program Sleek Rubber Bike;2020-12-13T18:50:04;2020-12-13T02:54:59;teal transmit transmitting
4;Engineer R;Alabama;2020-12-12T22:40:03;2020-12-12T23:17:31;firmware navigate
5;Beauty Isl;user-centric web-enabled;2020-12-13T11:26:36;2020-12-13T03:55:47;Minnesota Pennsylvania
6;Jewelery;Metrics Lead;2020-12-13T07:28:13;2020-12-13T09:08:05;repurpose
7;Money Mark;Industrial;2020-12-13T16:31:46;2020-12-12T23:38:23;transmit Analyst District
8;Officer ca;Producer;2020-12-13T09:42:45;2020-12-13T17:44:13;Mississippi
9;1080p;payment;2020-12-13T15:13:05;2020-12-13T00:16:14;Tactics Cocos (Keeling) Islands exploit
10;matrix Fis;hack Alabama Mauritius;2020-12-12T20:28:55;2020-12-12T22:22:55;Buckinghamshire help-desk Intelligent Fresh Bacon
