id;code;description;color;excuse_code;terminal;created;modified;modified_user
1;withdrawal;Analyst Technician;orchid;matrices;payment Chair methodologies;2020-12-13T19:16:41;2020-12-13T04:31:04;withdrawal
2;Rubber;responsive Frozen Turnpike;turquoise;circuit PNG solid state;Wisconsin Pakistan Rupee proactive;2020-12-13T01:17:48;2020-12-12T22:04:22;zero administration
3;hacking;back up Pa'anga copying;turquoise;Bacon backing up Ramp;driver Gorgeous Soft Car Applications;2020-12-13T17:29:37;2020-12-13T02:20:04;Orchestrator Fantastic
4;Re-context;Switchable TCP;silver;architectures Executive multi-tasking;real-time navigate Applications;2020-12-12T21:50:30;2020-12-13T15:16:11;Technician
5;Personal L;applications withdrawal Rustic;teal;Florida;withdrawal Checking Account;2020-12-13T00:00:18;2020-12-13T11:03:58;Organized Rubber parse
6;New York d;Consultant;grey;Shirt Bike Shirt;navigate;2020-12-12T23:15:36;2020-12-13T16:23:32;Toys
7;Developer ;Face to face Cambridgeshire compressing;orange;Lodge;experiences PCI withdrawal;2020-12-12T21:37:43;2020-12-13T05:13:27;intangible Maryland
8;Congo cohe;mesh;salmon;auxiliary Plastic Soft;Mouse Orchestrator Quality;2020-12-13T11:23:47;2020-12-13T06:44:52;withdrawal deposit niches
9;Outdoors n;Unions Checking Account;purple;quantify Borders Bike;Poland hacking;2020-12-13T11:32:34;2020-12-13T17:26:00;Romania
10;leverage y;Savings Account SDD Mississippi;silver;Unbranded;revolutionize functionalities;2020-12-13T15:01:19;2020-12-12T19:50:45;mindshare
