id;code;description;access_status;active;use_terminal_time;use_terminal_gate_no;brandid;mac_address;tcp_ip;tcp_port;gateway;netmask;monitoring_ip;monitoring_port
1;Assu;bypass optical RSS;73811;false;true;true;11203;Creative collaboration;middleware invoice E;52861;lavender cross-platf;Global;multi-byte backing u;78353
2;e-bu;port Rustic parse;78312;true;true;false;38415;moratorium salmon;Director bus;65219;transform primary;Unbranded;Hat National invoice;78276
3;back;Global Investment Account;78709;false;true;false;63770;PNG;maroon Pines attitud;32708;expedite;Accounts;extensible navigatin;94508
4;Lane;Money Market Account Steel De-engineered;79152;false;true;true;31185;Pound Sterling Internal;EXE Idaho;26907;Balboa US Dollar par;Metal;Island withdrawal;99963
5;Beau;Shirt;34950;true;true;false;68842;Rupiah;Gorgeous Soft Shoes ;59379;Multi-layered;Money Market Account;synthesizing Refined;40982
6;Gene;redefine;3898;true;false;false;64701;Rubber Buckinghamshire Co;Assistant;55916;SQL;Burundi Franc Nicara;proactive;17982
7;eyeb;withdrawal distributed Guinea;18226;false;true;true;51709;methodical;Web Associate Ergono;92220;capacity Iceland Kro;payment e-tailers ap;payment Steel Cambri;80113
8;e-ma;Plains Refined Soft Bacon;81241;true;true;false;42721;deliverables sexy Shoes;Lempira Right-sized ;97226;Borders;indexing Portugal;Profit-focused conne;99196
9;Plas;cross-platform;97738;false;true;true;46464;turquoise matrix Sausages;Borders;67724;Malta Technician;Beauty;networks Mouse Fresh;97469
10;SQL ;Louisiana lime;27594;true;false;true;86396;connecting;Accounts;61745;optical benchmark In;Small Wooden Car pay;Security;38233
