id;code;description;archive;order_no;start_date;end_date
1;compelling;extend;false;markets Or;2020-12-13;2020-12-13
2;24/7;Plastic Optimization Berkshire;false;calculatin;2020-12-13;2020-12-13
3;Shirt;4th generation compressing;false;Grove Shoa;2020-12-13;2020-12-13
4;Down-sized;Keyboard Intranet;false;calculate;2020-12-13;2020-12-13
5;Pizza;Personal Loan Account Isle of Man;true;parse;2020-12-13;2020-12-12
6;Granite ex;Handmade Cotton Hat open system;false;US Dollar ;2020-12-12;2020-12-13
7;infrastruc;integrate Associate Focused;false;Ball copyi;2020-12-13;2020-12-13
8;Peso Urugu;overriding Human;true;responsive;2020-12-13;2020-12-13
9;microchip;Reverse-engineered copy Metal;false;withdrawal;2020-12-12;2020-12-13
10;Investment;wireless niches Networked;true;SAS Market;2020-12-13;2020-12-13
