id;option_name;file_name;card_no_equal_emp_no;row_size;fixed_size;min_timekeeping_sec;default_visitor_card_no;pos_card_no;len_card_no;pos_day;len_day;pos_month;len_month;len_year;pos_year;pos_hour;len_hour;pos_min;len_min;pos_sec;len_sec;pos_direction;len_direction;pos_access_code;len_access_code;pos_terminal;len_terminal
1;Mauritius Rupee EXE;Human Fantastic Metal Sausages;false;85784;69026;79993;Rufiyaa workforce 6t;74051;20375;22588;69528;14369;13747;37803;18918;67018;86241;88021;63204;18122;13050;66443;19552;151;41884;3457;79076
2;Markets;redundant primary;true;53489;44086;18650;synthesize;87323;69838;6056;66989;25817;38739;50631;37412;38395;59177;10830;53850;98379;58072;35914;76057;85925;25009;33857;290
3;COM Fish;Licensed Cotton Bacon AGP Borders;false;75935;29735;57636;New Israeli Sheqel M;29385;70461;15099;58857;33296;55810;21608;39870;37313;89571;16514;26084;36652;89592;23573;94062;8515;83819;25711;93324
4;leading edge Investor;copy;true;44136;63252;48117;Savings Account Quet;13727;67102;84870;31352;86657;35774;49752;92726;3521;30338;73253;81829;16005;21764;43238;46708;69389;99268;8644;10213
5;paradigms embrace one-to-one;primary;true;57382;5250;55217;composite Configurat;17585;4069;52867;29775;33604;65752;2500;86771;38108;61225;21583;79286;77799;82567;31939;86434;60657;55387;83777;93224
6;transition Liaison responsive;Home Loan Account Games;false;2242;71459;75359;Rhode Island;70088;99001;75943;59383;27960;53734;95959;17391;61621;24240;96299;91876;84326;26255;53758;9739;1366;69627;59031;83197
7;Dynamic;Integration;true;22413;2338;83039;mobile eco-centric;64693;72821;69622;85120;13755;21059;25732;95947;14924;2904;99228;18325;73300;98320;87165;7665;25066;55139;96953;51713
8;connect;Designer;false;26188;5192;15320;alarm Fresh;70647;99649;49237;52048;16953;16961;75321;94484;65086;25221;56020;9030;3631;50435;53778;51309;16077;13188;1790;26603
9;Compatible plum;AGP;true;89429;55163;23408;circuit input User-f;1383;71761;75783;61775;15791;31090;78870;80343;95669;68567;15480;80289;4500;53884;79769;2280;18113;85618;22226;97441
10;Gardens plum responsive;Research Spurs;false;57777;91270;11492;Jersey;89443;87509;25728;20335;74259;84724;58218;27539;88565;76060;92929;25177;77690;89;62790;90767;98943;94504;63966;28207
