id;daytime;direction;overtime_approval;overtime_approval_1;overtime_approval_2;overtime_reason_id;overtime_notes;exported;rcexported;realtime;terminal_time;created;modified;modified_user;employee_id
1;2020-12-12T21:56:54;24320;false;false;true;91152;tan Ball Fantastic Concrete Sausages;false;true;false;2020-12-13T00:06:58;2020-12-13T11:11:35;2020-12-13T02:28:50;Director Music Borders;1
2;2020-12-13T02:06:30;35631;true;true;true;13004;virtual;true;false;false;2020-12-13T00:36:33;2020-12-13T00:25:35;2020-12-12T22:55:36;5th generation bus;2
3;2020-12-13T14:06:22;91554;false;false;false;27728;bypassing backing up Clothing;true;true;true;2020-12-13T08:37:37;2020-12-13T07:15:56;2020-12-12T23:04:08;Rustic Soft Towels Convertible Marks;3
4;2020-12-13T07:54:30;60872;true;true;false;10762;Wooden;false;false;true;2020-12-13T07:49:10;2020-12-13T08:30:48;2020-12-13T04:02:11;enable Louisiana;4
5;2020-12-12T21:17:09;42854;true;false;true;73277;dynamic Lead Finland;true;true;true;2020-12-13T06:38:43;2020-12-12T20:44:27;2020-12-12T21:09:02;Kentucky Branding Profit-focused;5
6;2020-12-13T15:04:34;25555;false;false;true;30430;RAM Mall Washington;true;false;true;2020-12-13T00:09:46;2020-12-13T15:02:27;2020-12-13T19:03:22;withdrawal relationships;6
7;2020-12-13T15:02:17;38274;true;true;false;89883;Handmade;true;true;true;2020-12-13T04:32:21;2020-12-13T06:11:25;2020-12-13T01:22:32;Handmade Concrete Computer Handmade Steel Pizza;7
8;2020-12-13T01:27:53;9515;false;true;true;95448;matrix functionalities;false;false;false;2020-12-12T21:38:57;2020-12-13T19:55:04;2020-12-13T19:30:41;Fantastic Personal Loan Account;8
9;2020-12-13T05:53:05;84442;true;false;false;37837;Czech Koruna;false;true;true;2020-12-13T03:59:47;2020-12-13T18:05:06;2020-12-13T02:43:58;Borders Borders Seamless;9
10;2020-12-13T00:27:54;89249;false;true;true;14797;Intelligent Frozen Mouse Personal Loan Account;false;false;false;2020-12-12T21:32:07;2020-12-12T23:12:19;2020-12-13T12:37:04;process improvement Handcrafted;10
