id;code;description;created;modified;modified_user
1;secondary ;Park;2020-12-13T03:03:46;2020-12-13T16:01:19;IB time-frame
2;Practical ;calculating;2020-12-13T18:07:32;2020-12-13T05:52:39;primary array deposit
3;Generic Fr;scalable harness California;2020-12-13T18:16:20;2020-12-13T14:06:25;Shoes Serbia
4;Central Gu;Steel Optimization;2020-12-13T15:07:54;2020-12-13T03:03:05;Total
5;Monitored ;interactive aggregate;2020-12-13T09:27:43;2020-12-13T18:10:44;Research Rubber neural
6;Planner tu;Handmade seize Data;2020-12-13T13:29:12;2020-12-13T18:25:20;Front-line Massachusetts
7;Credit Car;Plastic Borders;2020-12-13T19:23:27;2020-12-13T14:58:16;white cross-platform
8;Intelligen;Maryland Borders Virtual;2020-12-12T20:30:14;2020-12-13T10:15:57;Home Loan Account monitor Wooden
9;connecting;synergies;2020-12-12T22:45:46;2020-12-13T03:55:08;JSON North Carolina
10;Trace Unbr;B2B;2020-12-12T23:58:57;2020-12-13T07:35:07;system circuit
