id;name;permission;created;modified;modified_user
1;payment Principal digital;../fake-data/blob/hipster.txt;2020-12-13T10:26:25;2020-12-13T13:19:57;generate
2;Syrian Pound;../fake-data/blob/hipster.txt;2020-12-13T18:16:17;2020-12-13T03:31:20;Common SDD Metal
3;synthesize;../fake-data/blob/hipster.txt;2020-12-13T03:03:47;2020-12-12T23:26:48;payment navigating
4;Borders;../fake-data/blob/hipster.txt;2020-12-13T14:17:22;2020-12-12T21:21:59;innovative
5;New Hampshire Assimilated;../fake-data/blob/hipster.txt;2020-12-13T09:01:15;2020-12-13T01:34:24;Principal
6;New Jersey Overpass auxiliary;../fake-data/blob/hipster.txt;2020-12-13T15:13:34;2020-12-13T18:05:00;programming
7;yellow best-of-breed;../fake-data/blob/hipster.txt;2020-12-12T23:08:00;2020-12-13T05:27:25;hacking National
8;Graphical User Interface content RAM;../fake-data/blob/hipster.txt;2020-12-13T04:38:50;2020-12-13T01:21:19;RSS
9;Reactive International quantifying;../fake-data/blob/hipster.txt;2020-12-13T19:24:21;2020-12-13T04:46:34;Phased
10;generating calculate;../fake-data/blob/hipster.txt;2020-12-13T04:20:13;2020-12-13T12:06:15;Springs deposit Berkshire
