id;name;is_active;created;modified;modified_user
1;Handmade;false;2020-12-13T12:52:26;2020-12-13T00:12:48;United Arab Emirates USB
2;Ergonomic Soft Bacon;false;2020-12-12T21:01:14;2020-12-13T19:22:09;Unbranded
3;Trinidad and Tobago Dollar calculating;false;2020-12-13T10:12:20;2020-12-13T10:26:35;green
4;Som Avon;true;2020-12-13T02:31:27;2020-12-12T20:43:40;wireless
5;Assurance American Samoa;false;2020-12-13T08:45:47;2020-12-13T15:56:00;Borders
6;schemas Indiana;true;2020-12-13T05:58:27;2020-12-13T10:58:31;generate Uruguay revolutionary
7;deposit Mobility;true;2020-12-13T14:40:01;2020-12-12T23:03:36;parse
8;HTTP;true;2020-12-12T21:26:07;2020-12-13T13:07:16;rich
9;Progressive Pizza lime;false;2020-12-13T02:30:29;2020-12-13T17:11:46;SSL
10;CSS Central;true;2020-12-13T13:02:30;2020-12-13T05:13:41;indexing Synchronised Optimization
