id;code;name;managing_person;fax;phone;tax_no;tax_office
1;withdrawal;budgetary management Global portals;web-readiness Fresh;maroon;662.814.1713 x3;Station focus g;yellow implement generate
2;parse;intermediate;Realigned parsing Squares;cross-platform ;1-380-349-1168;Industrial View;Wyoming sky blue Sports
3;Cheese cro;Freeway transmit Human;Refined Metal Fish SSL Wooden;envisioneer Fre;1-914-632-4926 ;Assurance hack ;Rhode Island quantifying
4;THX SSL pr;quantifying enterprise;parse Games program;Island Soft Erg;(055) 169-2952 ;Intuitive adapt;Zimbabwe Dollar
5;calculatin;Baby;integrate Iceland Customizable;Central Multi-c;(736) 242-8323 ;Credit Card Acc;harness Salad
6;COM connec;Balboa US Dollar Steel Small;alarm mobile facilitate;Creative;936.722.6396;Auto Loan Accou;data-warehouse
7;experience;Awesome;Avon exuding South Africa;solution-orient;284-451-0194;Chicken JSON;Via Ergonomic compress
8;Lead;synergistic;application;orange Nebraska;566.188.4789 x4;Cloned Fresh Ca;bi-directional
9;Course Ill;Directives;Keyboard;invoice;414-924-1372 x4;Jamaica;Internal Handcrafted e-business
10;initiative;orchestration;migration data-warehouse;back up;(011) 098-9033;azure;1080p
