id;date_year;date_week;week_date;date_first;date_last;balance_week_date;balance_week;week_hour_min;week_hour;week_hour_max;week_normal_hour_max;week_overtime_hour_max;total_hour;total_na_hour;total_work_hour;na_hour;no_hour;ot_hour;over_hour;ot_used_hour;leave_hour;balance_left_hour;balance_over_hour;work_day;leave_day;employee_id
1;66391;86774;2020-12-13;2020-12-13;2020-12-12;2020-12-13;9591;51890;94880;6640;27826;10747;87471;14107;15661;22228;72289;78036;67240;28165;48691;4932;38229;35315;49653;1
2;20296;73039;2020-12-13;2020-12-13;2020-12-13;2020-12-13;31753;35401;95772;43515;57987;3244;48624;5393;17571;2423;38406;46812;12253;11736;81938;57840;79287;38984;10581;2
3;33928;26821;2020-12-13;2020-12-13;2020-12-13;2020-12-13;83630;65983;70122;73358;30044;51614;98677;80950;48763;96269;21520;4781;9648;69735;28785;95716;37519;90403;32183;3
4;5131;25168;2020-12-13;2020-12-13;2020-12-13;2020-12-13;76238;99936;89500;58409;17975;14267;48263;61764;45517;10136;95178;29024;82178;16353;55826;15441;92667;29579;8772;4
5;2709;79938;2020-12-13;2020-12-13;2020-12-13;2020-12-13;48879;48328;68379;23751;15219;9618;83126;39968;62105;90887;37242;58499;25333;80394;58503;16522;3674;38452;86470;5
6;42417;1962;2020-12-13;2020-12-13;2020-12-13;2020-12-12;26264;10961;76104;35127;95748;46234;29139;46994;34564;97409;98749;39607;3871;63923;50853;89511;91863;42486;49233;6
7;43240;52590;2020-12-13;2020-12-13;2020-12-13;2020-12-13;16132;44899;54942;68699;85651;37220;51139;33586;9314;70726;47348;21208;45744;86896;88820;59537;19146;55867;66888;7
8;1687;36224;2020-12-13;2020-12-13;2020-12-13;2020-12-13;48403;10757;38926;21849;21309;23714;43599;37500;84872;77619;68029;46386;90308;97486;93196;67416;69544;16370;24981;8
9;42311;25319;2020-12-13;2020-12-13;2020-12-13;2020-12-13;34025;86457;21797;94220;95185;45995;63260;69592;84947;14927;75454;16198;87030;80373;47546;85485;76809;54080;23195;9
10;14601;29658;2020-12-13;2020-12-13;2020-12-13;2020-12-13;59807;25596;83411;53786;58494;48217;55897;56194;74784;25268;23847;10134;69595;99633;33219;41127;11770;69640;19022;10
