id;date_year;date_week;week_date;week_count;week_first_date;week_last_date;week_hour_min;week_hour;week_hour_max;week_normal_hour_max;week_overtime_hour_max;total_hour;total_na_hour;total_work_hour;na_hour;no_hour;ot_hour;over_hour;ot_used_hour;leave_hour;balance_left_hour;balance_over_hour;work_day;leave_day;work_week;leave_week;employee_id
1;66890;41406;2020-12-13;23888;2020-12-13;2020-12-13;32042;92700;81271;5287;78227;64276;25306;56393;64184;57879;51573;1478;96881;85843;56480;5149;93908;25234;331;17776;1
2;17547;27853;2020-12-13;17882;2020-12-13;2020-12-13;56494;26595;41293;37107;15121;11684;93368;84964;7148;78142;6136;32559;31603;84364;7737;85799;68657;97037;78979;2310;2
3;94804;87105;2020-12-13;1682;2020-12-13;2020-12-13;99406;32645;15878;71709;38588;19379;6987;24607;20435;82918;81033;34022;48824;18144;72128;34001;60193;98401;31476;42878;3
4;13841;81032;2020-12-13;43899;2020-12-13;2020-12-13;67164;28406;66212;36254;16614;40402;33837;25117;93547;93984;38555;8736;21496;65681;87520;65262;51718;18882;88269;26665;4
5;58755;16796;2020-12-13;40633;2020-12-13;2020-12-12;21775;66655;15667;5288;97658;14657;90522;74240;4372;82662;82821;18530;47397;98114;40156;73764;57067;12103;99801;39867;5
6;20613;62235;2020-12-13;24934;2020-12-13;2020-12-13;36771;40916;90038;31773;86393;80596;21882;1205;77525;51514;4267;33497;80485;57937;72415;98377;7445;74729;26847;84572;6
7;28065;32476;2020-12-13;92600;2020-12-13;2020-12-12;40906;43428;54494;15512;55407;10477;21337;12123;48416;92032;95772;12525;65863;15864;55081;56230;55563;21145;92950;20818;7
8;11832;14000;2020-12-13;82141;2020-12-13;2020-12-13;66492;21089;77264;32382;51555;46630;66698;90568;11059;92004;70561;80190;60040;56825;69262;16444;25157;8613;77761;86878;8
9;21083;36593;2020-12-13;16333;2020-12-13;2020-12-13;75194;30507;47150;20522;35170;57012;23991;94547;57402;56522;26800;20126;19857;27241;53257;96654;20922;64712;71330;89626;9
10;49180;44354;2020-12-13;78935;2020-12-13;2020-12-13;99835;13209;72166;19135;89454;35224;52988;13594;63529;38830;73747;8412;52500;36195;90155;49739;4659;90665;63451;29155;10
