id;code;description;day_hours_min;day_hours;day_hours_max;week_hours_min;week_hours;week_hours_max;dist_before_multiplier;dist_daily_disabled;dist_weekly_disabled;dist_no_after_fullna;leave_when_absent;leave_debit_always;overtime_use_leave_ratio;use_overwork_for_leaves;day_hours_comparative;always_calc_holiday;no_holiday_when_absent;min_normal_day_for_holiday
1;solutions;haptic;56239;92482;71406;56123;40162;70036;false;true;false;true;true;true;26246;true;true;false;false;95692
2;Rubber Sma;revolutionary Central Team-oriented;54332;33651;84856;37344;52773;29110;false;false;false;true;true;true;11949;false;false;true;true;45058
3;Soft payme;Frozen Synergized digital;68413;1945;41558;57936;14658;85053;true;true;true;false;false;false;59795;true;false;true;false;81385
4;Steel;Sleek Frozen Tuna Dynamic blue;88629;59413;28822;84486;23408;64020;false;false;false;true;false;true;12271;true;false;false;true;74782
5;Incredible;Mauritius calculating;81825;85118;48330;22900;6144;18099;false;false;false;true;true;true;2063;true;true;true;false;88876
6;bandwidth-;compressing parallelism;11464;40206;12310;19657;98442;46192;false;false;false;true;true;false;19103;false;true;false;false;18459
7;Chair mode;Cambridgeshire;51044;96837;46999;73563;37361;45847;false;true;false;false;false;true;32621;true;false;true;false;29559
8;applicatio;Money Market Account Summit;43328;15014;34562;48281;70782;99158;false;true;false;false;false;true;58761;false;false;false;true;88302
9;1080p Ariz;French Southern Territories Gloves;48272;27491;74117;47740;76527;7678;true;true;true;false;true;false;12075;false;true;false;false;99523
10;Legacy Sho;programming;17695;73537;17610;56991;96031;24984;false;true;false;true;false;true;91641;false;false;true;true;71049
