id;code;description;created;modified;modified_user
1;Robust dep;payment;2020-12-12T21:01:36;2020-12-12T22:48:22;Austria
2;Soft;panel input;2020-12-13T20:03:34;2020-12-13T06:14:16;functionalities Hong Kong
3;interactiv;synergy Unbranded Soft Towels;2020-12-13T08:11:12;2020-12-13T18:13:54;utilize cross-platform
4;hack;indigo;2020-12-13T00:50:34;2020-12-13T02:11:22;Awesome Wooden Ball Licensed Concrete Ball well-modulated
5;calculate;array;2020-12-13T05:36:47;2020-12-12T23:44:35;neural
6;deposit de;Licensed zero defect;2020-12-13T18:46:52;2020-12-13T03:13:30;end-to-end end-to-end users
7;Personal L;Executive Customer-focused metrics;2020-12-12T23:48:57;2020-12-13T16:36:28;feed
8;metrics Sa;solution New Zealand Dollar Officer;2020-12-13T17:43:02;2020-12-12T20:40:46;supply-chains
9;Cotton Bor;Persistent;2020-12-13T20:23:37;2020-12-13T14:18:02;Senior info-mediaries experiences
10;Small Sala;cyan Bedfordshire;2020-12-13T06:32:27;2020-12-13T06:15:37;reboot US Dollar Jewelery
