id;daydate;description;payment_type;use_calendar;calendar_id;apply_weekly_balance;weekly_id;balance_weeks_in_month;weekend_day;flexible_working_time;day_off;flexible_shift;standard_schedule_id;saturday_schedule_id;weekend_schedule_id;absent_schedule_id;week_hours;week_hours_min;week_hours_max;monthly_balance_01;monthly_balance_02;monthly_balance_03;monthly_balance_04;monthly_balance_05;monthly_balance_06;monthly_balance_07;monthly_balance_08;monthly_balance_09;monthly_balance_10;monthly_balance_11;monthly_balance_12;own_calendar;own_weekly_work;own_day_off;own_na_start_flex;own_schedules;own_week_hours;own_monthly_balance;created;modified;modified_user;work_contract_id
1;2020-12-13;open-source Ridge;e;true;27920;true;63897;true;true;true;80627;false;83279;25581;74307;76261;23879;90677;23731;78274;67078;1639;38285;97132;60904;45179;66508;7801;11150;53878;70021;true;false;true;true;true;true;false;2020-12-13T06:25:07;2020-12-13T17:07:42;vortals Chief;1
2;2020-12-12;Lead;p;false;66013;true;23661;false;true;true;6872;false;2162;41425;81790;6807;6054;62545;74677;14453;86275;41398;39788;62367;95321;63745;82370;57591;88493;40299;11916;false;true;true;true;false;false;true;2020-12-13T04:06:20;2020-12-13T02:11:08;backing up Analyst;2
3;2020-12-13;Gorgeous Fresh Chicken Ball;P;true;18779;true;74673;false;true;true;32122;true;5253;8846;46189;8460;27002;92428;23467;51818;84396;9354;7530;99912;66997;15919;34913;63584;77989;53943;49222;false;true;true;true;true;false;true;2020-12-13T18:22:22;2020-12-13T14:12:31;Vista Road;3
4;2020-12-12;Mills;i;true;99821;true;12421;false;true;false;93914;false;17657;48995;67165;61789;73660;18613;46908;71823;94135;64450;60742;45025;1425;61361;99198;22050;63980;62774;92475;true;true;false;true;true;false;false;2020-12-13T17:41:31;2020-12-13T13:27:58;SMS Hong Kong Dollar;4
5;2020-12-13;Orchestrator card Jewelery;c;false;30546;false;83017;true;true;false;84623;false;24966;67927;56023;46352;80546;12712;10254;713;87003;33213;68677;8575;37213;56951;92804;60985;13925;47609;35408;false;true;false;true;true;true;true;2020-12-12T21:06:29;2020-12-13T03:27:16;Orchestrator pink;5
6;2020-12-13;Handmade Cotton Bike Intelligent Soft Mouse Direct;W;false;19543;false;7705;false;false;true;38319;false;94473;52611;96053;13999;31097;63259;30555;94871;7262;24044;48149;93938;71121;81631;65135;91372;74307;83404;83772;true;false;false;true;false;false;true;2020-12-13T11:15:32;2020-12-13T14:21:16;Kansas sky blue Garden;6
7;2020-12-13;COM;c;true;62305;false;52619;true;true;true;58622;false;69469;65457;49480;67345;23211;42372;83095;6448;71871;83838;35007;89946;74926;43855;62331;62120;18350;88854;69074;false;false;true;true;true;true;false;2020-12-12T23:05:48;2020-12-13T18:44:11;AI online;7
8;2020-12-13;Tasty Plastic Computer wireless;p;false;29597;false;97057;true;false;true;35770;false;19207;56196;54810;58513;87880;12541;96554;23336;15275;82947;53828;43276;45699;84095;29417;58594;92109;938;79205;true;false;true;true;false;false;false;2020-12-13T14:09:40;2020-12-13T08:16:04;Small Fresh Chips brand Savings Account;8
9;2020-12-13;Crest Pennsylvania;T;true;94732;false;51835;true;false;false;99506;false;49231;54770;74556;55808;42726;20840;3590;40678;55922;14840;92868;72643;46889;68030;44150;70250;24936;81919;93029;true;false;true;false;false;true;true;2020-12-12T23:57:52;2020-12-13T04:01:59;copying Corporate;9
10;2020-12-13;Home Awesome Metal Keyboard Accounts;i;true;52585;true;68782;false;false;false;33708;true;41465;95958;80826;79933;39523;50151;23282;76245;18752;41961;84558;95775;44948;98237;51183;49272;75869;92757;8749;false;true;false;true;true;false;true;2020-12-12T22:49:13;2020-12-13T19:09:22;North Carolina;10
