id;description;access_type;use_timezone_calendar;access_result;access_count;access_total_count;counter_day;counter_week;counter_month;counter_reset_time;message_no;message_yes;created;modified;modified_user;zone_id;access_code_id;authorization_group_id
1;Samoa;14697;false;true;8528;54575;5060;65111;46700;;sensor Gloves;reinvent Corporate;2020-12-13T12:13:28;2020-12-13T02:41:40;executive;1;1;1
2;withdrawal View e-commerce;86444;false;true;20738;34079;62214;12314;86568;;Configuration;asymmetric multi-byte;2020-12-13T16:24:16;2020-12-13T03:47:45;North Dakota Mobility Director;2;2;2
3;invoice leverage;38513;true;false;34677;84639;58842;59938;46343;;National 4th generation;pricing structure Ports;2020-12-13T18:49:06;2020-12-13T14:43:19;Fresh SMTP;3;3;3
4;withdrawal;39488;false;false;48805;77165;16404;55263;3783;;application;communities Soap transitional;2020-12-12T22:51:24;2020-12-13T16:46:05;intranet Electronics Kids;4;4;4
5;Checking Account modular International;27190;true;true;95125;68876;66885;43953;94642;;COM Practical Frozen Shoes;Fresh payment;2020-12-13T18:21:18;2020-12-13T09:30:14;Designer District;5;5;5
6;hacking;28463;true;true;84359;66521;14975;90007;14520;;web services Zambia;withdrawal Total;2020-12-13T05:46:04;2020-12-13T02:15:46;auxiliary Granite Program;6;6;6
7;copying;68565;true;false;69883;77115;44737;11239;38200;;transmit;deposit Illinois Officer;2020-12-12T22:46:54;2020-12-13T11:13:21;Iowa;7;7;7
8;Nebraska;74934;false;false;80567;26984;71267;3168;78529;;neutral Accountability Borders;hacking copying multi-byte;2020-12-13T09:38:09;2020-12-13T13:59:32;Cape Verde;8;8;8
9;Corporate Books;80398;true;true;96005;80434;42624;73493;48391;;leverage Accounts;Beauty firewall;2020-12-13T15:56:57;2020-12-13T08:08:05;Liaison fault-tolerant;9;9;9
10;generating;87168;false;false;31166;76507;28939;77049;61443;;Iowa;Pants blue Research;2020-12-13T02:10:00;2020-12-13T14:46:41;Plastic ability Supervisor;10;10;10
