id;entry_time;card_no;card_type;access_ack;exit_access_id;exit_time;exit_access_ack;zone_id
1;2020-12-13T09:53:14;program Home Loan Ac;L;false;53246;2020-12-13T06:43:25;false;1
2;2020-12-13T17:09:06;Monitored;m;false;49139;2020-12-13T12:29:33;true;2
3;2020-12-13T10:27:34;Cotton;R;false;50005;2020-12-13T05:56:48;false;3
4;2020-12-13T12:34:06;Avon;h;false;39558;2020-12-13T01:05:25;false;4
5;2020-12-12T21:33:30;revolutionary;w;true;68434;2020-12-12T22:46:18;false;5
6;2020-12-13T13:55:45;tan;r;false;62033;2020-12-13T07:26:48;true;6
7;2020-12-13T00:12:02;Group;I;true;72899;2020-12-12T21:13:23;true;7
8;2020-12-13T06:37:49;Sleek Frozen Ball;s;true;60064;2020-12-13T06:12:41;false;8
9;2020-12-13T08:26:59;Manager;C;false;90628;2020-12-13T12:39:37;true;9
10;2020-12-13T03:58:29;quantifying calculat;p;false;39167;2020-12-13T16:58:30;true;10
